id,model,ability,noise_ratio,query,model_response,accuracy
0,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"Sunday, Jan. 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20-17.",1
3,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.,1
4,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,How many vehicles did Tesla deliver in 2021?,"According to the documents, Tesla delivered 936,172 vehicles in 2021. This represents an 87% increase from 2020. (Documents 1, 2, 3, 4, and 5)",1
5,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,Which company acquired ShowBiz Cinemas?,Evo Entertainment Group.,1
6,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,Where is the Super Bowl held in 2022?,"SoFi Stadium in Inglewood, California.",1
7,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,When will Truth Social launch on iOS?,February 21st.,1
8,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Picture Drama at the 79th Golden Globes.,1
9,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,How much are GA Tech softball 2022 season tickets?,"According to Documents 2 and 4, GA Tech softball 2022 season tickets cost $100 per seat. They are located in the reserved chairback sections of Mewborn Field.",1
10,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,When does the 2022 Olympic Winter Games end?,"The 2022 Olympic Winter Games ended on February 20, 2022.",1
