exp_id,domain,chunking,embedding,retrieval,rerank,k,llm,samples,relevance,utilization,completeness,adherence_rate,ref_relevance,ref_utilization,ref_completeness,rmse_relevance,rmse_utilization,rmse_completeness,aucroc_adherence,notes,adherence_accuracy,prompt,ref_adherence_mean
EXP-001,General Knowledge,whole_doc,minilm,dense,False,5,llama-3.1-8b-instant,24,0.3681791666666666,0.175425,0.5589124999999999,0.8333333333333334,0.1999484888320027,0.1532219983748621,0.7965277777777778,0.2537258486437334,0.1303618957263679,0.4743122750947476,,baseline,,,
EXP-001-J70,General Knowledge,whole_doc,minilm,dense,False,5,llama-3.1-8b-instant,25,0.2418079999999999,0.127608,0.607816,0.72,0.201362313984605,0.1517990007928088,0.7846666666666667,0.1438744557781352,0.0865272056352937,0.472891973287769,,judge upgraded to 70b; pipeline identical to EXP-001,0.72,,
EXP-002,General Knowledge,whole_doc,minilm,dense,False,5,llama-3.3-70b-versatile,25,0.2429799999999999,0.1418,0.6715280000000001,0.8,0.201362313984605,0.1517990007928088,0.7846666666666667,0.0944819017547635,0.0663129533337971,0.3440086619064506,,"generator 8b->70b, judge=70b, rest baseline",0.8,,
EXP-003,General Knowledge,whole_doc,e5,dense,False,5,llama-3.3-70b-versatile,25,0.252836,0.153776,0.687336,0.8,0.201362313984605,0.1517990007928088,0.7846666666666667,0.1194103675332698,0.0674643096220487,0.3766200564671687,,"embedding minilm->e5, generator 70b carried, judge 70b",0.8,,
EXP-004,General Knowledge,whole_doc,e5,hybrid,False,5,llama-3.3-70b-versatile,25,0.231328,0.155248,0.7407640000000001,0.84,0.201362313984605,0.1517990007928088,0.7846666666666667,0.1006461321670701,0.0630493905324788,0.3676001478055561,,"retrieval dense->hybrid (RRF), e5+70b carried",0.84,,
EXP-005,General Knowledge,semantic,e5,hybrid,False,5,llama-3.3-70b-versatile,25,0.220628,0.153732,0.758672,0.76,0.201362313984605,0.1517990007928088,0.7846666666666667,0.0904631201926509,0.0614784241865097,0.3350129685052008,,"chunking whole_doc->semantic, e5+hybrid+70b carried",0.76,,
EXP-L1,General Knowledge,whole_doc,e5,hybrid,False,5,llama-3.1-8b-instant,25,0.228784,0.113556,0.564384,0.76,0.201362313984605,0.1517990007928088,0.7846666666666667,0.1127802434764145,0.0998718755608768,0.5341224733460794,,LLM sweep on best combo: llama-3.1-8b-instant,0.76,baseline,
EXP-L2,General Knowledge,whole_doc,e5,hybrid,False,5,meta-llama/llama-4-scout-17b-16e-instruct,25,0.248648,0.1568,0.717672,0.8,0.201362313984605,0.1517990007928088,0.7846666666666667,0.1376206529406378,0.0658991977540227,0.3449799031827796,,LLM sweep on best combo: meta-llama/llama-4-scout-17b-16e-instruct,0.8,baseline,
EXP-L3,General Knowledge,whole_doc,e5,hybrid,False,5,qwen/qwen3-32b,25,0.253844,0.167332,0.729336,0.64,0.201362313984605,0.1517990007928088,0.7846666666666667,0.1500287609931095,0.0710788394973835,0.346661159443435,,LLM sweep on best combo: qwen/qwen3-32b,0.64,baseline,
EXP-006,General Knowledge,whole_doc,bge,hybrid,False,5,llama-3.3-70b-versatile,25,0.230896,0.1657,0.756292,0.8,0.201362313984605,0.1517990007928088,0.7846666666666667,0.0999459981507613,0.0366284776097399,0.3136072118643532,,embedding e5->bge on best combo; chunking=whole_doc per EXP-005 revert,0.8,,
EXP-008,General Knowledge,whole_doc,e5,hybrid,True,5,llama-3.3-70b-versatile,25,0.217368,0.167648,0.782008,0.88,0.201362313984605,0.1517990007928088,0.7846666666666667,0.0884643101873896,0.044364413234805,0.3400294108848037,,mentor: reranking with hybrid,0.88,baseline,
EXP-007,General Knowledge,recursive,e5,hybrid,False,5,llama-3.3-70b-versatile,25,0.246764,0.165288,0.732448,0.76,0.201362313984605,0.1517990007928088,0.7846666666666667,0.1052385071405208,0.0526930207670184,0.3229776206901442,,mentor: recursive chunking 300c/60c overlap,0.76,baseline,
EXP-009,General Knowledge,whole_doc,e5,hybrid,True,5,llama-3.3-70b-versatile,25,0.24788,0.166772,0.7201,0.76,0.201362313984605,0.1517990007928088,0.7846666666666667,0.0892405412490103,0.0662952906587892,0.2889192156987831,,"mentor: prompt change (generator only, judge untouched)",0.76,v2,
EXP-FINAL-BASE,General Knowledge,whole_doc,minilm,dense,False,5,llama-3.1-8b-instant,200,0.237279,0.1190979999999999,0.5540575000000001,0.695,0.2155716699433556,0.1525281310432021,0.7400297619047618,0.1315660412633567,0.1009909084104891,0.4665287363260995,0.5583413693346191,FINAL baseline 200 (resumed across sessions),0.68,,0.915
EXP-FINAL-BEST,General Knowledge,whole_doc,e5,hybrid,True,5,llama-3.3-70b-versatile,199,0.23586934673366827,0.15245678391959797,0.7066728643216081,0.7989949748743719,0.2159370695769547,0.15257672897378538,0.7387233787987557,0.11043166580309358,0.06841516801876385,0.30904692472760187,0.4865869424692954,FINAL best combo 200 samples (= EXP-008 config),0.7437185929648241,baseline,0.914572864321608
