exp_id,domain,chunking,embedding,retrieval,rerank,llm,relevance,utilization,completeness,adherence_rate,ref_relevance,ref_utilization,ref_completeness,rmse_relevance,rmse_utilization,rmse_completeness,aucroc_adherence,samples,notes
EXP-001,General Knowledge,whole_doc,minilm,dense,False,llama-3.1-8b-instant,0.3682,0.1754,0.5589,0.8333,0.1999,0.1532,0.7965,0.2537,0.1304,0.4743,,24,baseline
EXP-001-J70,General Knowledge,whole_doc,minilm,dense,False,llama-3.1-8b-instant,0.2418,0.1276,0.6078,0.72,0.2014,0.1518,0.7847,0.1439,0.0865,0.4729,,25,judge upgraded to 70b; pipeline identical to EXP-001
EXP-002,General Knowledge,whole_doc,minilm,dense,False,llama-3.3-70b-versatile,0.243,0.1418,0.6715,0.8,0.2014,0.1518,0.7847,0.0945,0.0663,0.344,,25,"generator 8b->70b, judge=70b, rest baseline"
EXP-003,General Knowledge,whole_doc,e5,dense,False,llama-3.3-70b-versatile,0.2528,0.1538,0.6873,0.8,0.2014,0.1518,0.7847,0.1194,0.0675,0.3766,,25,"embedding minilm->e5, generator 70b carried, judge 70b"
EXP-004,General Knowledge,whole_doc,e5,hybrid,False,llama-3.3-70b-versatile,0.2313,0.1552,0.7408,0.84,0.2014,0.1518,0.7847,0.1006,0.063,0.3676,,25,"retrieval dense->hybrid (RRF), e5+70b carried"
EXP-005,General Knowledge,semantic,e5,hybrid,False,llama-3.3-70b-versatile,0.2206,0.1537,0.7587,0.76,0.2014,0.1518,0.7847,0.0905,0.0615,0.335,,25,"chunking whole_doc->semantic, e5+hybrid+70b carried"
EXP-L1,General Knowledge,whole_doc,e5,hybrid,False,llama-3.1-8b-instant,0.2288,0.1136,0.5644,0.76,0.2014,0.1518,0.7847,0.1128,0.0999,0.5341,,25,LLM sweep on best combo: llama-3.1-8b-instant
EXP-L2,General Knowledge,whole_doc,e5,hybrid,False,meta-llama/llama-4-scout-17b-16e-instruct,0.2486,0.1568,0.7177,0.8,0.2014,0.1518,0.7847,0.1376,0.0659,0.345,,25,LLM sweep on best combo: meta-llama/llama-4-scout-17b-16e-instruct
EXP-L3,General Knowledge,whole_doc,e5,hybrid,False,qwen/qwen3-32b,0.2538,0.1673,0.7293,0.64,0.2014,0.1518,0.7847,0.15,0.0711,0.3467,,25,LLM sweep on best combo: qwen/qwen3-32b
EXP-006,General Knowledge,whole_doc,bge,hybrid,False,llama-3.3-70b-versatile,0.2309,0.1657,0.7563,0.8,0.2014,0.1518,0.7847,0.0999,0.0366,0.3136,,25,embedding e5->bge on best combo; chunking=whole_doc per EXP-005 revert
EXP-008,General Knowledge,whole_doc,e5,hybrid,True,llama-3.3-70b-versatile,0.2174,0.1676,0.782,0.88,0.2014,0.1518,0.7847,0.0885,0.0444,0.34,,25,mentor: reranking with hybrid
EXP-007,General Knowledge,recursive,e5,hybrid,False,llama-3.3-70b-versatile,0.2468,0.1653,0.7324,0.76,0.2014,0.1518,0.7847,0.1052,0.0527,0.323,,25,mentor: recursive chunking 300c/60c overlap
EXP-009,General Knowledge,whole_doc,e5,hybrid,True,llama-3.3-70b-versatile,0.2479,0.1668,0.7201,0.76,0.2014,0.1518,0.7847,0.0892,0.0663,0.2889,,25,"mentor: prompt change (generator only, judge untouched)"
