id,model,ability,query,model_response,accuracy
0,llama-3.3-70b-versatile,counterfactual_nodocs,Super Bowl 2021 location,"The location of Super Bowl 2021 (also known as Super Bowl LV) was Raymond James Stadium in Tampa, Florida. The event took place on February 7, 2021. The Tampa Bay Buccaneers won the game, defeating the Kansas City Chiefs with a score of 31-9.",1
1,llama-3.3-70b-versatile,counterfactual_nodocs,Which country won the most medals at the 2018 Winter Olympics?,"At the 2018 Winter Olympics in Pyeongchang, South Korea, Norway won the most medals, with a total of 39 medals, including 14 gold medals, 14 silver medals, and 11 bronze medals.",1
2,llama-3.3-70b-versatile,counterfactual_nodocs,Who acquired Instagram?,"Instagram was acquired by Facebook (now known as Meta) in 2012. Facebook purchased Instagram for approximately $1 billion in cash and stock. The acquisition was announced on April 9, 2012, and was completed on September 6, 2012. Since then, Instagram has continued to operate as a subsidiary of Meta, with a significant degree of autonomy and independence.",1
3,llama-3.3-70b-versatile,counterfactual_nodocs,Who acquired WhatsApp?,"Facebook (now known as Meta) acquired WhatsApp in 2014. The acquisition was announced on February 19, 2014, and was completed on October 6, 2014, with a purchase price of approximately $19.3 billion.",1
4,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the women's singles Wimbledon in 2019?,"The winner of the women's singles Wimbledon in 2019 was Simona Halep. She defeated Serena Williams in the final with a score of 6-2, 6-2. This was Halep's first Wimbledon title.",1
5,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the women's singles Wimbledon in 2018?,"The winner of the women's singles Wimbledon in 2018 was Angelique Kerber. She defeated Serena Williams in the final with a score of 6-3, 6-3.",1
6,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the women's singles Wimbledon in 2021?,"The winner of the women's singles Wimbledon in 2021 was Ashleigh Barty. She defeated Karolina Pliskova in the final with a score of 6-3, 6-7(4-7), 6-3.",1
7,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the men's singles Wimbledon in 2013?,"The men's singles Wimbledon title in 2013 was won by Andy Murray. He defeated Novak Djokovic in the final with a score of 6-4, 7-5, 6-4. This was Murray's first Wimbledon title.",1
8,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the women's singles U.S. Open in 2021?,"The women's singles U.S. Open in 2021 was won by Emma Raducanu. She defeated Leylah Fernandez in the final on September 11, 2021. Raducanu, a British player, became the first qualifier to win a Grand Slam tournament in the Open Era.",1
9,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the men's singles U.S. Open in 2020?,"The men's singles U.S. Open in 2020 was won by Dominic Thiem. He defeated Alexander Zverev in the final, winning the match 2-6, 4-6, 6-4, 6-3, 7-6(8-6). This was Thiem's first U.S. Open title and his first Grand Slam title overall.",1
10,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the women's singles U.S. Open in 2019?,"The winner of the women's singles U.S. Open in 2019 was Bianca Andreescu. She defeated Serena Williams in the final with a score of 6-3, 7-5. This was Andreescu's first Grand Slam title.",1
11,llama-3.3-70b-versatile,counterfactual_nodocs,Who won the men's singles U.S. Open 2021?,"The men's singles U.S. Open 2021 was won by Daniil Medvedev. He defeated Novak Djokovic in the final with a score of 6-4, 6-4, 6-4. This was Medvedev's first Grand Slam title.",1
12,llama-3.3-70b-versatile,counterfactual_nodocs,What was Tesla's revenue in Q1 2021?,Tesla's revenue in Q1 2021 was $10.39 billion.,0
13,llama-3.3-70b-versatile,counterfactual_nodocs,What was Tesla's revenue in Q2 2020?,Tesla's revenue in Q2 2020 was $6.04 billion.,1
14,llama-3.3-70b-versatile,counterfactual_nodocs,What was Tesla's revenue in Q3 2019?,Tesla's revenue in Q3 2019 was $6.303 billion.,0
15,llama-3.3-70b-versatile,counterfactual_nodocs,When was Splatoon 2 released?,"Splatoon 2 was released on July 21, 2017, for the Nintendo Switch.",1
16,llama-3.3-70b-versatile,counterfactual_nodocs,Who acquired 20th Century Fox?,"The Walt Disney Company acquired 20th Century Fox (now known as 20th Century Studios) in 2019. The acquisition was completed on March 20, 2019, with Disney purchasing 21st Century Fox's film and television assets, including 20th Century Fox, for approximately $71.3 billion.",1
