id,model,ability,noise_ratio,query,model_response,accuracy
0,llama-3.1-8b-instant,noise_robustness,0.2,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,llama-3.1-8b-instant,noise_robustness,0.2,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,llama-3.1-8b-instant,noise_robustness,0.2,Who won the 2022 Citrus Bowl?,Kentucky won the 2022 Citrus Bowl. This information can be found in Document 2 and Document 3.,1
3,llama-3.1-8b-instant,noise_robustness,0.2,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,According to Document 3: Jason Semore helped lead Valdosta State to the 2021 NCAA Division II national championship game as defensive coordinator before returning to Georgia Tech.,1
4,llama-3.1-8b-instant,noise_robustness,0.2,How many vehicles did Tesla deliver in 2021?,"According to Document 2, Tesla delivered 936,172 vehicles in 2021.",1
5,llama-3.1-8b-instant,noise_robustness,0.2,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,llama-3.1-8b-instant,noise_robustness,0.2,Where is the Super Bowl held in 2022?,"SoFi Stadium in Inglewood, California.",1
7,llama-3.1-8b-instant,noise_robustness,0.2,When will Truth Social launch on iOS?,"According to Document 1, Document 3, Document 4, and Document 5, Truth Social will launch on iOS on February 21st.",1
8,llama-3.1-8b-instant,noise_robustness,0.2,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Motion Picture – Drama at the 79th Golden Globes.,1
9,llama-3.1-8b-instant,noise_robustness,0.2,How much are GA Tech softball 2022 season tickets?,Season tickets are located in the reserved chairback sections of Mewborn Field and cost $100 per seat.,1
10,llama-3.1-8b-instant,noise_robustness,0.2,When does the 2022 Olympic Winter Games end?,"According to Document 4, the 2022 Olympic Winter Games ended on 20 February 2022.",1
11,llama-3.1-8b-instant,noise_robustness,0.2,Who won the Spanish Super Cup 2022?,"Based on the provided documents, the answer is: Real Madrid won the Spanish Super Cup 2022. 

Document 2 and Document 3 both confirm that Real Madrid won the 2022 Spanish Super Cup final against Athletic Bilbao with a score of 2-0.",1
12,llama-3.1-8b-instant,noise_robustness,0.2,How much is Microsoft acquiring Activision Blizzard for?,"$68.7 billion, inclusive of Activision, in an all-cash transaction valued at $68.7 billion, and $95 per share.",1
