idx,strategy,question,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,C5,Which viruses may not cause prolonged inflammation due to strong induction of antiviral clearance?,0.7059,0.2353,0.3333,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,C5,When was the first case of COVID-19 identified?,0.7308,0.1154,0.1579,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,C5,How many antigens could be detected by Liew's multiplex ELISA test?,0.3125,0.0625,0.2,1,0.125,0.0625,0.5,1
3,C5,What is the structure of Hantaan virus?,0.15,0.15,0.3333,1,0.3,0.3,1.0,1
4,C5,How many people did SARS-CoV infect?,0.2667,0.0667,0.25,0,0.06666666666666667,0.06666666666666667,1.0,1
5,C5,What was the focus of the study?,0.7647,0.0588,0.0769,0,0.29411764705882354,0.17647058823529413,0.6,1
6,C5,What contributed to a large part of mammalian genomic sequence?,0.9444,0.0,0.0,1,0.05555555555555555,0.05555555555555555,1.0,1
7,C5,What is severe MARS noted for?,0.2727,0.0,0.0,1,0.36363636363636365,0.045454545454545456,0.125,1
8,C5,What animal models exist for both the asymptomatic carriage of PUUV and SNV?,0.6842,0.0526,0.0769,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,C5,What does Clade A contain?,0.8333,0.0,0.0,0,1.0,0.041666666666666664,0.041666666666666664,1
10,C5,What is  an example of anti-viral defense in bats?,0.85,0.05,0.0588,0,0.35,0.1,0.2857142857142857,1
11,C5,What could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant m,1.0,0.1111,0.1111,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,C5,What are exhibited in the two phases?,0.4,0.1333,0.3333,0,0.13333333333333333,0.06666666666666667,0.5,1
13,C5,How was HFRS  first brought to the attention of western medicine ?,0.2632,0.0526,0.2,1,0.10526315789473684,0.05263157894736842,0.5,1
14,C5,What has been the application of phage display technology?,1.0,0.3158,0.3158,0,0.2631578947368421,0.15789473684210525,0.6,1
15,C5,Are the modern day Influenza viruses related to the 1918 Spanish Influenza virus?,0.8,0.2,0.25,0,0.2,0.2,1.0,1
16,C5,In how many cases the symptoms at diagnosis were consistent with the case definition for acute respi,0.5294,0.0,0.0,1,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,C5,Which may be an occupational group with significantly higher incidence of seropositivity to MERS-CoV,0.5294,0.0588,0.1111,1,0.058823529411764705,0.058823529411764705,1.0,1
18,C5,Is there an Influenza vaccine?,0.6667,0.1667,0.25,0,0.3333333333333333,0.3333333333333333,1.0,0
19,C5,What is a future potential of filamentous phage?,1.0,0.2,0.2,0,0.1,0.1,1.0,1
20,C5,What is the treatment for MERS-COV?,0.8966,0.2759,0.3077,1,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,C5,What does LAIV rely on?,0.4783,0.087,0.1818,0,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,C5,What percentage of population was affected?,0.4545,0.1818,0.4,0,0.18181818181818182,0.18181818181818182,1.0,1
23,C5,"Is oral swab for detecting 2019-nCOV infection, sufficient?",1.0,0.1053,0.1053,1,0.42105263157894735,0.15789473684210525,0.375,1
24,C5,How many people have persistent hepatitis C virus?,0.7647,0.0588,0.0769,0,0.23529411764705882,0.11764705882352941,0.5,0
