id,model,ability,noise_ratio,query,model_response,accuracy
0,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was on January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is medical.",1
2,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20-17.",1
3,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,"According to the document, Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.",1
4,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,How many vehicles did Tesla deliver in 2021?,"According to the document, Tesla delivered 936,172 vehicles in 2021.",1
5,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Which company acquired ShowBiz Cinemas?,Evo Entertainment Group acquired ShowBiz Cinemas.,1
6,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Where is the Super Bowl held in 2022?,"The Super Bowl in 2022, Super Bowl LVI, was held at SoFi Stadium in Inglewood, California.",1
7,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,When will Truth Social launch on iOS?,"Truth Social launched on iOS on February 21, 2022.",1
8,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,What won best drama at 79th Golden Globes?,"The film ""The Power of the Dog"" won Best Picture Drama at the 79th Golden Globes.",1
9,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,How much are GA Tech softball 2022 season tickets?,The Georgia Tech softball 2022 season tickets cost $100 per seat.,1
10,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,When does the 2022 Olympic Winter Games end?,"The 2022 Olympic Winter Games ended on February 20, 2022.",1
11,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Who won the Spanish Super Cup 2022?,"Real Madrid won the Spanish Super Cup 2022. They defeated Athletic Bilbao 2-0 in the final, with goals from Luka Modric and Karim Benzema.",1
12,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,How much is Microsoft acquiring Activision Blizzard for?,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1
13,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,What is the price for a 30-second spot during the Super Bowl 2022?,The price for a 30-second spot during the Super Bowl 2022 was $6.5 million.,1
14,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,When is the Sports Star of the Year Awards Show 2022?,"The 87th annual Seattle Sports Star of the Year Awards Show was held on May 26, 2022.",1
15,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. These individuals were Georgia Tech’s first Black students and the first Black graduate, respectively, and were recognized for their courage and determination in integrating the university.",1
16,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,What is the codename for Google's AR headset project?,The codename for Google's AR headset project is **Project Iris**.,1
17,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,What is the name of Meta's AI supercomputer?,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1
18,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,When will American students start taking digital SAT exams?,American students will start taking digital SAT exams in Spring 2024.,1
19,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,When do the Paralympic Winter Games 2022 start?,"The 2022 Paralympic Winter Games start on Friday, March 4, 2022.",1
20,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Super Bowl 2022 date,"The Super Bowl 2022 is scheduled to take place on Sunday, February 13, 2022.",1
21,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Who won the 2022 Nobel Prize for chemistry?,"The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless for their development of click chemistry and bioorthogonal chemistry.",1
22,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Who won the Super Bowl 2022?,"The Los Angeles Rams won the Super Bowl 2022, defeating the Cincinnati Bengals with a score of 23-20.",1
23,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,Who won women's 500m speed skating at the 2022 Winter Olympics?,Erin Jackson of the United States won the women's 500m speed skating event at the 2022 Winter Olympics.,1
24,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,When was Lost Ark game release on Steam?,"Lost Ark was released on Steam on February 11, 2022. Founders Pack owners were able to access the game starting February 8, 2022.",1
25,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"In the Beijing 2022 Olympic Games, Jessie Diggins won the following medals:

1. **Bronze** in the women's sprint.
2. **Silver** in the women's 30 kilometer freestyle.",1
26,qwen/qwen-2.5-72b-instruct,noise_robustness,0.4,What is the genre of The Endgame (TV show)?,The genre of The Endgame (TV show) is Crime drama · Thriller.,1
