idx,question,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,Which viruses may not cause prolonged inflammation due to strong induction of antiviral clearance?,0.2353,0.1176,0.5,0,0.4117647058823529,0.1764705882352941,0.4285714285714285,0
1,When was the first case of COVID-19 identified?,0.1154,0.0385,0.3333,1,0.2692307692307692,0.0769230769230769,0.2857142857142857,1
2,How many antigens could be detected by Liew's multiplex ELISA test?,0.0625,0.0625,1.0,1,0.125,0.0625,0.5,1
3,What is the structure of Hantaan virus?,0.25,0.05,0.2,0,0.3,0.3,1.0,1
4,How many people did SARS-CoV infect?,0.6667,0.0667,0.1,1,0.0666666666666666,0.0666666666666666,1.0,1
5,What was the focus of the study?,0.3529,0.2941,0.8333,1,0.2941176470588235,0.1764705882352941,0.6,1
6,What contributed to a large part of mammalian genomic sequence?,0.0,0.0,0.0,1,0.0555555555555555,0.0555555555555555,1.0,1
7,What is severe MARS noted for?,0.4545,0.0,0.0,1,0.3636363636363636,0.0454545454545454,0.125,1
8,What animal models exist for both the asymptomatic carriage of PUUV and SNV?,0.2105,0.0526,0.25,0,0.1578947368421052,0.0526315789473684,0.3333333333333333,1
9,What does Clade A contain?,0.0,0.0,0.0,1,1.0,0.0416666666666666,0.0416666666666666,1
10,What is  an example of anti-viral defense in bats?,0.25,0.2,0.8,1,0.35,0.1,0.2857142857142857,1
11,What could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant m,0.5556,0.1111,0.2,1,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,What are exhibited in the two phases?,0.2667,0.0667,0.25,1,0.1333333333333333,0.0666666666666666,0.5,1
13,How was HFRS  first brought to the attention of western medicine ?,0.0526,0.0526,1.0,1,0.1052631578947368,0.0526315789473684,0.5,1
14,What has been the application of phage display technology?,0.6842,0.1053,0.1538,0,0.2631578947368421,0.1578947368421052,0.6,1
15,Are the modern day Influenza viruses related to the 1918 Spanish Influenza virus?,0.2,0.2,1.0,0,0.2,0.2,1.0,1
16,In how many cases the symptoms at diagnosis were consistent with the case definition for acute respi,0.5294,0.0,0.0,0,0.1764705882352941,0.1176470588235294,0.6666666666666666,0
17,Which may be an occupational group with significantly higher incidence of seropositivity to MERS-CoV,0.1765,0.1176,0.6667,0,0.0588235294117647,0.0588235294117647,1.0,1
18,Is there an Influenza vaccine?,1.0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,1.0,0
19,What is a future potential of filamentous phage?,0.3,0.05,0.1667,1,0.1,0.1,1.0,1
20,What is the treatment for MERS-COV?,0.4828,0.1379,0.2857,0,0.4137931034482758,0.3448275862068966,0.8333333333333334,1
21,What does LAIV rely on?,0.1304,0.0435,0.3333,1,0.1304347826086956,0.0434782608695652,0.3333333333333333,1
22,What percentage of population was affected?,0.3636,0.1818,0.5,0,0.1818181818181818,0.1818181818181818,1.0,1
23,"Is oral swab for detecting 2019-nCOV infection, sufficient?",0.4737,0.2632,0.5556,0,0.4210526315789473,0.1578947368421052,0.375,1
24,How many people have persistent hepatitis C virus?,0.4706,0.0588,0.125,0,0.2352941176470588,0.1176470588235294,0.5,0
25,What was the main finding in the study?,0.3077,0.2308,0.75,1,0.2307692307692307,0.1538461538461538,0.6666666666666666,1
26,What CNS functions are changed by mutations in the KATNAL1 gene?,0.5,0.3889,0.7778,1,0.4444444444444444,0.4444444444444444,1.0,1
27,What statistical tests were used to compare categorical variables?,0.1905,0.1905,1.0,0,0.1904761904761904,0.1904761904761904,1.0,1
28,What is this disease  characterized by ?,0.2778,0.1667,0.6,0,0.2222222222222222,0.0555555555555555,0.25,1
29,How do these exact processes ultimately restrict viral infectivity?,0.4286,0.2381,0.5556,0,0.3809523809523809,0.3809523809523809,1.0,0
30,What are the ages of the patients in this study?,0.5,0.3182,0.6364,0,0.2727272727272727,0.2272727272727272,0.8333333333333334,0
31,What types of viruses can be diagnosed through serological testing?,0.5714,0.2143,0.375,1,0.2857142857142857,0.1428571428571428,0.5,1
32,What was used to measure the performance of the NINA heaters?,0.1429,0.0476,0.3333,1,0.2857142857142857,0.0952380952380952,0.3333333333333333,1
33,How does COVID19 get spread?,0.45,0.2,0.4444,0,0.4,0.25,0.625,1
34,Why does the claim lack any scientific  basis?,0.625,0.375,0.6,1,0.625,0.625,1.0,1
35,What is the likely period of under-reporting?,0.2143,0.0,0.0,1,0.3571428571428571,0.3571428571428571,1.0,0
36,What conditions are considered lower respiratory tract infections?,0.4,0.3333,0.8333,1,0.4,0.2666666666666666,0.6666666666666666,1
37,hen did Asian genotype emerge?,0.2857,0.0476,0.1667,0,0.2857142857142857,0.1428571428571428,0.5,1
