id,model,ability,noise_ratio,query,model_response,accuracy
0,llama-3.1-8b-instant,noise_robustness,0.6,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,llama-3.1-8b-instant,noise_robustness,0.6,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama. This information can be found in Document 4.",1
2,llama-3.1-8b-instant,noise_robustness,0.6,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20-17. This information can be found in Document 1, Document 3, and Document 4.",1
3,llama-3.1-8b-instant,noise_robustness,0.6,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,"According to Document 4, Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.",1
4,llama-3.1-8b-instant,noise_robustness,0.6,How many vehicles did Tesla deliver in 2021?,[ERROR_MAX_RETRIES],0
5,llama-3.1-8b-instant,noise_robustness,0.6,Which company acquired ShowBiz Cinemas?,[ERROR_MAX_RETRIES],0
6,llama-3.1-8b-instant,noise_robustness,0.6,Where is the Super Bowl held in 2022?,[ERROR_MAX_RETRIES],0
7,llama-3.1-8b-instant,noise_robustness,0.6,When will Truth Social launch on iOS?,[ERROR_MAX_RETRIES],0
8,llama-3.1-8b-instant,noise_robustness,0.6,What won best drama at 79th Golden Globes?,"According to Document 4, ""The Power of the Dog"" won Best Picture Drama at the 79th Golden Globes.",1
9,llama-3.1-8b-instant,noise_robustness,0.6,How much are GA Tech softball 2022 season tickets?,I can not answer the question because of the insufficient information in documents.,0
10,llama-3.1-8b-instant,noise_robustness,0.6,When does the 2022 Olympic Winter Games end?,[ERROR_MAX_RETRIES],0
11,llama-3.1-8b-instant,noise_robustness,0.6,Who won the Spanish Super Cup 2022?,"Based on the provided documents, Real Madrid won the Spanish Super Cup in 2022. This information is found in Document 2, which states that Real Madrid won their 12th Super Cup in a final decided with a fine goal from Modrić and a Benzema penalty.",1
12,llama-3.1-8b-instant,noise_robustness,0.6,How much is Microsoft acquiring Activision Blizzard for?,[ERROR_MAX_RETRIES],0
13,llama-3.1-8b-instant,noise_robustness,0.6,What is the price for a 30-second spot during the Super Bowl 2022?,[ERROR_MAX_RETRIES],0
14,llama-3.1-8b-instant,noise_robustness,0.6,When is the Sports Star of the Year Awards Show 2022?,"The Sports Star of the Year Awards Show 2022 was held on May 26, 2022.",1
15,llama-3.1-8b-instant,noise_robustness,0.6,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,[ERROR_MAX_RETRIES],0
16,llama-3.1-8b-instant,noise_robustness,0.6,What is the codename for Google's AR headset project?,Project Iris.,1
17,llama-3.1-8b-instant,noise_robustness,0.6,What is the name of Meta's AI supercomputer?,[ERROR_MAX_RETRIES],0
18,llama-3.1-8b-instant,noise_robustness,0.6,When will American students start taking digital SAT exams?,"According to Document 4, the digital SAT will be launched in the U.S. in 2024.",1
19,llama-3.1-8b-instant,noise_robustness,0.6,When do the Paralympic Winter Games 2022 start?,[ERROR_MAX_RETRIES],0
20,llama-3.1-8b-instant,noise_robustness,0.6,Super Bowl 2022 date,[ERROR_MAX_RETRIES],0
21,llama-3.1-8b-instant,noise_robustness,0.6,Who won the 2022 Nobel Prize for chemistry?,"K. Barry Sharpless, Carolyn R. Bertozzi, and Morten Meldal won the 2022 Nobel Prize in Chemistry for the development of click chemistry and bioorthogonal chemistry.",1
22,llama-3.1-8b-instant,noise_robustness,0.6,Who won the Super Bowl 2022?,"The Los Angeles Rams won the Super Bowl 2022, defeating the Cincinnati Bengals 23-20.",1
23,llama-3.1-8b-instant,noise_robustness,0.6,Who won women's 500m speed skating at the 2022 Winter Olympics?,[ERROR_MAX_RETRIES],0
