id,model,ability,query,model_response,accuracy
0,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Super Bowl 2021 location,"Super Bowl LV (55) was held on February 7, 2021, at Raymond James Stadium in Tampa, Florida. This was the second time Tampa hosted the Super Bowl in the 21st century, with the first being Super Bowl XXXV in 2001. Raymond James Stadium is the home field of the Tampa Bay Buccaneers, who actually played in the Super Bowl that year and won against the Kansas City Chiefs.",1
1,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Which country won the most medals at the 2018 Winter Olympics?,"The country that won the most medals at the 2018 Winter Olympics, held in Pyeongchang, South Korea, was Norway. Norway topped the medal table with a total of 39 medals, which included 14 gold, 14 silver, and 11 bronze medals. This was a remarkable performance, setting a new record for the most medals won by a single nation at a Winter Olympics.",1
2,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who acquired Instagram?,"Instagram was acquired by Facebook, Inc. (now known as Meta Platforms, Inc.) in April 2012 for approximately $1 billion in a combination of cash and stock. At the time of the acquisition, Instagram was a relatively new photo-sharing app with around 30 million users. Since the acquisition, Instagram has grown significantly and become one of the most popular social media platforms in the world, with over a billion monthly active users as of 2021.",1
3,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who acquired WhatsApp?,"WhatsApp was acquired by Facebook, Inc. (now known as Meta Platforms, Inc.) in February 2014 for approximately $19 billion. The acquisition was one of the largest in the tech industry at the time, and it significantly expanded Facebook's presence in the messaging and communication space. Since the acquisition, WhatsApp has continued to operate as a standalone service, maintaining its focus on privacy and secure messaging.",1
4,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the women's singles Wimbledon in 2019?,"The women's singles Wimbledon champion in 2019 was Simona Halep. The Romanian tennis player defeated Serena Williams in the final with a score of 6-2, 6-2. This victory marked Halep's second Grand Slam title, following her win at the 2018 French Open.",1
5,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the women's singles Wimbledon in 2018?,"The winner of the women's singles Wimbledon tournament in 2018 was Angelique Kerber from Germany. She defeated Serena Williams in the final, marking her third Grand Slam title and her first Wimbledon championship.",1
6,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the women's singles Wimbledon in 2021?,"The winner of the women's singles Wimbledon tournament in 2021 was Ashleigh Barty from Australia. Barty defeated Karolína Muchová in the final with a score of 6-3, 6-7(4), 6-3. This was Barty's first Wimbledon title and her third Grand Slam singles title overall.",1
7,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the men's singles Wimbledon in 2013?,"The men's singles Wimbledon champion in 2013 was Andy Murray. This was a significant victory for Murray as it marked his first Wimbledon title and made him the first British man to win the Wimbledon singles championship in 77 years, since Fred Perry's victory in 1936. Murray defeated Novak Djokovic in the final, with a score of 6–4, 7–5, 6–4.",1
8,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the women's singles U.S. Open in 2021?,"The winner of the women's singles U.S. Open in 2021 was Emma Raducanu. She made history by becoming the first qualifier to win a Grand Slam singles title, and at 18 years old, she was also the youngest women's Grand Slam champion since 2004. Raducanu defeated Leylah Fernandez in the final, another teenager who had a remarkable run in the tournament.",1
9,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the men's singles U.S. Open in 2020?,"The winner of the men's singles U.S. Open in 2020 was Dominic Thiem. He defeated Alexander Zverev in a five-set final, marking his first Grand Slam title.",1
10,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the women's singles U.S. Open in 2019?,"The winner of the women's singles U.S. Open in 2019 was Bianca Andreescu. The Canadian tennis player, who was 19 years old at the time, defeated Serena Williams in the final. This victory marked Andreescu's first Grand Slam title and made her the first Canadian to win a Grand Slam singles title.",1
11,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the men's singles U.S. Open 2021?,"The winner of the men's singles U.S. Open 2021 was Daniil Medvedev. The Russian tennis player defeated Novak Djokovic in the final, preventing Djokovic from achieving a calendar-year Grand Slam. This was Medvedev's first Grand Slam title.",1
12,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,What was Tesla's revenue in Q1 2021?,"Tesla's revenue in Q1 2021 was approximately $10.39 billion. This figure represents a significant increase from the same period in the previous year, highlighting the company's growth and strong performance in the automotive and energy sectors.",0
13,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,What was Tesla's revenue in Q2 2020?,"Tesla's revenue in Q2 2020 was approximately $6.04 billion. This figure represents a significant milestone for the company, as it continued to show strong financial performance despite the challenges posed by the global pandemic at that time.",1
14,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,What was Tesla's revenue in Q3 2019?,"Tesla's revenue in Q3 2019 was approximately $6.30 billion. This figure represents the company's total revenue for the third quarter of that year, reflecting their sales and services across various segments including automotive, energy generation and storage, and other activities.",0
15,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was Splatoon 2 released?,"Splatoon 2 was released on July 21, 2017, for the Nintendo Switch.",1
16,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who acquired 20th Century Fox?,"20th Century Fox was acquired by The Walt Disney Company in 2019. This acquisition was part of a larger deal where Disney purchased a significant portion of 21st Century Fox's assets, including the film studio, for approximately $71.3 billion. As a result of this acquisition, 20th Century Fox was renamed to 20th Century Studios and is now a part of the Walt Disney Studios division.",1
17,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the French Presidential Election 2017?,"The winner of the French Presidential Election in 2017 was Emmanuel Macron. He defeated Marine Le Pen in the second round of voting, which took place on May 7, 2017. Macron, who was the candidate for the centrist En Marche! party, received approximately 66.1% of the vote, while Le Pen, the candidate for the far-right National Front, received about 33.9%. This victory made Emmanuel Macron the youngest president in French history at the age of 39.",1
18,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the US Presidential Election 2020?,"Joe Biden won the 2020 United States presidential election. He defeated the incumbent president, Donald Trump, and was inaugurated as the 46th President of the United States on January 20, 2021.",1
19,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was Diablo 3 released?,"Diablo 3 was released on May 15, 2012, for Windows and Mac. It was later released for other platforms, including PlayStation 3, Xbox 360, PlayStation 4, Xbox One, and Nintendo Switch.",1
20,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the 2021 Tour de France?,"The 2021 Tour de France was won by Tadej Pogačar from Slovenia. He rode for the UAE Team Emirates and secured his victory by demonstrating exceptional performance, particularly in the mountain stages. This was Pogačar's second consecutive Tour de France win, following his triumph in 2020.",1
21,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the 2019 Tour de France?,"The 2019 Tour de France was won by Egan Bernal of Colombia. He became the first Colombian and the youngest rider in the modern era to win the prestigious race. Bernal, who rode for the Ineos team (formerly Team Sky), secured his victory by demonstrating exceptional climbing abilities and tactical prowess throughout the three-week event.",1
22,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was xenoblade chronicles 2 released?,"Xenoblade Chronicles 2 was originally released on December 1, 2017, for the Nintendo Switch in Japan. It was then released in North America and Europe on December 15, 2017. The game was later ported to other platforms, with a definitive edition called Xenoblade Chronicles 2: Torna ~ The Golden Country being released for the Nintendo Switch on October 16, 2020. A cloud version for the Nintendo Switch Lite and other platforms followed on May 29, 2020.",1
23,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was xenoblade chronicles X released in Japan?,"Xenoblade Chronicles X was released in Japan on December 4, 2015, for the Nintendo Wii U console.",0
24,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was xenoblade chronicles Definite Edition released?,"Xenoblade Chronicles: Definitive Edition was released on May 29, 2020, for the Nintendo Switch. This version includes enhanced graphics, additional content, and a new epilogue chapter called ""Future Connected.""",1
25,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was GPT-3 released?,"GPT-3, the third generation of the Generative Pre-trained Transformer model, was released by OpenAI in June 2020. It quickly gained attention due to its impressive capabilities and the vast scale of its training, which involved 175 billion parameters.",1
26,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was OpenAI founded?,OpenAI was founded in December 2015.,1
27,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who is the Heisman Trophy winner in 2012?,"The Heisman Trophy winner in 2012 was Johnny Manziel, a quarterback from Texas A&M University. He was the first freshman to ever win the award, making his victory particularly notable. Manziel, often referred to as ""Johnny Football,"" had an outstanding season, leading the Aggies to a 10-2 record and setting numerous school and conference records.",1
28,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who is the Walter Camp Award winner in 2017?,"The Walter Camp Award winner for the year 2017 was Baker Mayfield. Mayfield, who played quarterback for the University of Oklahoma, was recognized for his outstanding performance during the 2017 college football season. He was a key player in leading Oklahoma to a 12-2 record and a berth in the College Football Playoff. Mayfield's exceptional skills, leadership, and statistics that season made him a deserving recipient of this prestigious award.",1
29,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who is the Maxwell Award winner in 2019?,"The 2019 Maxwell Award winner was Justin Fields, who was then a quarterback for Ohio State University. The Maxwell Award is presented annually to the college football player who has demonstrated outstanding performance and leadership on the field, as well as in the community. Justin Fields had an exceptional season, throwing for 3,273 yards, 41 touchdowns, and only three interceptions, while also rushing for 484 yards and 10 touchdowns.",0
30,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who is the director of the Avatar movie?,"The director of the Avatar movie is James Cameron. James Cameron is a renowned Canadian filmmaker who is known for his work on high-grossing and technologically innovative films. Avatar, released in 2009, was a groundbreaking film that utilized advanced motion capture technology and 3D cinematography, setting new standards for visual effects in cinema.",1
31,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who is the director of the Silent Hill movie?,"The director of the 2006 ""Silent Hill"" movie is Christophe Gans. Gans is a French filmmaker who is known for his work in the horror and fantasy genres. He directed ""Silent Hill"" based on the popular survival horror video game series of the same name, which was developed by Team Silent and published by Konami.",1
32,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who is the director of the Assassin's Creed movie?,"The director of the Assassin's Creed movie is Justin Kurzel. The film, which was released in 2016, stars Michael Fassbender and Marion Cotillard and is based on the popular video game series of the same name. Kurzel is an Australian filmmaker known for his work on films such as ""Macbeth"" (2015) and ""Snowtown"" (2011).",1
33,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,What is the premiere date of Grey's Anatomy Season 17?,"Grey's Anatomy Season 17 premiered on November 10, 2022.",0
34,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,What is the premiere date of The Walking Dead Season 11?,"The premiere date for The Walking Dead Season 11 was August 22, 2021. This final season consisted of 24 episodes, divided into three parts, and concluded on March 13, 2022.",1
35,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the World Cup Final in 2018?,"France won the World Cup Final in 2018. They defeated Croatia 4-2 in the final match, which took place on July 15, 2018, at the Luzhniki Stadium in Moscow, Russia. This was France's second World Cup title, their first having been in 1998.",1
36,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the World Cup Final in 2014?,"The World Cup Final in 2014 was won by Germany. They defeated Argentina 1-0 in extra time, with the only goal scored by Mario Götze in the 113th minute. This victory marked Germany's fourth World Cup title, following their previous wins in 1954, 1974, and 1990.",1
37,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,Who won the World Cup Final in 2010?,"The World Cup Final in 2010 was won by Spain. They defeated the Netherlands 1-0 in extra time, with the only goal of the match scored by Andrés Iniesta. This victory marked Spain's first FIFA World Cup title.",1
38,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was Marvel's Spider-Man released?,"Marvel's Spider-Man, the popular action-adventure video game developed by Insomniac Games, was released on September 7, 2018, exclusively for the PlayStation 4. The game received critical acclaim for its engaging story, fluid gameplay, and faithful representation of the Spider-Man character and universe.",1
39,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When was Assassin's Creed Valhalla released?,"Assassin's Creed Valhalla was released on November 10, 2020.",1
40,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,When does the iPhone 11 release?,"The iPhone 11 was released on September 20, 2019. Apple typically announces new iPhone models in September, and the iPhone 11 was no exception, following the annual release cycle.",1
41,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,What is women's year-end No 1 in tennis in 2020?,"The Women's Year-End No. 1 ranking in tennis for 2020 was awarded to Ashleigh Barty from Australia. Barty maintained her top ranking throughout the year, despite the disruptions caused by the COVID-19 pandemic, which led to the suspension of many tournaments. She finished the year as the world's top-ranked female tennis player, a position she first achieved in June 2019.",1
42,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,What is men's year-end No 1 in tennis in 2019?,"The men's year-end No. 1 in tennis for 2019 was Novak Djokovic. Djokovic had an outstanding year, winning two Grand Slam titles (the Australian Open and Wimbledon) and maintaining a high level of consistency throughout the season. This marked his fifth time finishing the year at the top of the ATP rankings, following his previous year-end No. 1 finishes in 2011, 2012, 2014, and 2015.",0
43,qwen/qwen-2.5-72b-instruct,counterfactual_nodocs,How much did Google acquire YouTube for?,"Google acquired YouTube for $1.65 billion in an all-stock transaction that was completed in November 2006. This acquisition was a significant move by Google to enter the online video market, which has since become a major part of the internet landscape.",1
