Experiment ID,Judge Model,Embedding Model,Chunking Strategy,Generator LLM,Retrieval Method,Re-ranking Method,Context Ordering,TRACe Context Relevance ↑,TRACe Context Utilization ↑,TRACe Completeness ↑,TRACe Adherence ↑,Valid_Judge_response,Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑
CS-064,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.2767,0.1839,0.5571,0.5969,24/25,0.2615,0.2233,0.4767,0.7667
CS-009,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,none,sides,0.3989,0.1414,0.3805,0.4687,24/25,0.4048,0.1989,0.5468,0.7067
CS-015,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,none,sides,0.2649,0.1364,0.4629,0.7006,23/25,0.2526,0.1591,0.4682,0.6833
CS-003,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.098,0.0403,0.4406,0.581,22/25,0.0709,0.0298,0.4981,0.6767
CS-051,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.1079,0.0701,0.5618,0.5564,24/25,0.0916,0.0799,0.5052,0.6767
CS-087,openai/gpt-oss-120b,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,sides,0.313,0.12,0.3495,0.6803,22/25,0.3169,0.1687,0.5613,0.6733
CS-018,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.2856,0.1741,0.5496,0.6446,25/25,0.266,0.1919,0.5705,0.6467
CS-006,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.0893,0.0344,0.4425,0.5321,25/25,0.0597,0.0381,0.5796,0.64
CS-016,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.2627,0.1739,0.5494,0.626,25/25,0.2491,0.1976,0.5024,0.64
CS-030,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.0893,0.0344,0.4425,0.5321,25/25,0.0597,0.0381,0.5796,0.64
CS-054,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.0893,0.0344,0.4425,0.5321,25/25,0.0597,0.0381,0.5796,0.64
CS-078,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.0893,0.0344,0.4425,0.5321,25/25,0.0597,0.0381,0.5796,0.64
CS-017,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.249,0.1464,0.5042,0.5977,24/25,0.2484,0.1837,0.5513,0.6367
CS-065,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.2704,0.1352,0.4559,0.6029,24/25,0.2602,0.1512,0.5193,0.6367
CS-002,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.0942,0.042,0.4071,0.4712,25/25,0.0804,0.0618,0.6298,0.6233
CS-024,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.472,0.328,0.6147,0.6176,25/25,0.5066,0.3828,0.4835,0.6067
