id,model,ability,noise_ratio,query,model_response,accuracy
0,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' took place on January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who won the 2022 Citrus Bowl?,Kentucky won the 2022 Citrus Bowl with a 20-17 victory over Iowa.,1
3,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Defensive coordinator.,1
4,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,How many vehicles did Tesla deliver in 2021?,"According to the document, Tesla delivered 936,172 vehicles in 2021, which represents a 87% increase over 2020.",1
5,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Which company acquired ShowBiz Cinemas?,"The Austin-based EVO Entertainment Group acquired 100% of ShowBiz Cinemas, a Texas-based chain with 89 screens and 79 bowling lanes across nine locations in Texas, Oklahoma, Florida, and Wyoming.",1
6,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Where is the Super Bowl held in 2022?,"The Super Bowl LVI was held at SoFi Stadium in Inglewood, California, on February 13, 2022.",1
7,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When will Truth Social launch on iOS?,"According to the documents, Truth Social launched on iOS on February 21st, 2022, which is President's Day in the US.",1
8,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Picture Drama at the 79th Golden Globes.,1
9,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,How much are GA Tech softball 2022 season tickets?,"According to the document, Georgia Tech softball 2022 season tickets cost $100 per seat.",1
10,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When does the 2022 Olympic Winter Games end?,"According to the document, the 2022 Winter Olympics were held from 4 to 20 February 2022.",1
11,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who won the Spanish Super Cup 2022?,I can not answer the question because of the insufficient information in documents.,0
12,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,How much is Microsoft acquiring Activision Blizzard for?,"According to the document, Microsoft is acquiring Activision Blizzard for $68.7 billion in an all-cash deal.",1
13,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What is the price for a 30-second spot during the Super Bowl 2022?,"According to the document, in 2022, a 30-second commercial slot cost $5.6 million, which was the highest bid during the Super Bowl hosted by Fox in 2020 and CBS in 2021.",0
14,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When is the Sports Star of the Year Awards Show 2022?,"The Sports Star of the Year Awards Show 2022 was held on May 26, 2022.",1
15,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,I can not answer the question because of the insufficient information in documents.,0
16,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What is the codename for Google's AR headset project?,The codename for Google's AR headset project is Project Iris.,1
17,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What is the name of Meta's AI supercomputer?,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1
18,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When will American students start taking digital SAT exams?,I can not answer the question because of the insufficient information in documents.,0
19,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When do the Paralympic Winter Games 2022 start?,"The 2022 Paralympic Winter Games will take place from Friday, March 4 - Sunday, March 13.",1
20,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Super Bowl 2022 date,"Super Bowl LVI will take place on Sunday, February 13.",1
21,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who won the 2022 Nobel Prize for chemistry?,"The 2022 Nobel Prize in Chemistry was awarded to K. Barry Sharpless, Carolyn R. Bertozzi, and Morten Meldal for the development of click chemistry and bioorthogonal chemistry.",1
22,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who won the Super Bowl 2022?,"The Los Angeles Rams won the Super Bowl 2022, defeating the Cincinnati Bengals 23-20.",1
23,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who won women's 500m speed skating at the 2022 Winter Olympics?,Erin Jackson of the United States won the women's 500m speed skating at the 2022 Winter Olympics.,1
24,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When was Lost Ark game release on Steam?,"According to the document, Lost Ark was released on Steam on February 11.",1
25,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"According to the documents, Jessie Diggins won two medals in the Beijing 2022 Olympic Games:

1. Bronze medal in the individual sprint (on Feb 8, 2022)
2. Silver medal in the 30-kilometer freestyle race (on Feb 20, 2022)

Note: The document also mentions that Jessie Diggins won a gold medal in the 2018 women's team sprint, but that is not part of the Beijing 2022 Olympic Games.",1
26,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What is the genre of The Endgame (TV show)?,The genre of The Endgame (TV show) is an American crime drama thriller.,1
27,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When did Russia invade Ukraine?,"According to the provided document, Russia invaded Ukraine on February 24, 2022.",1
28,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When was Elden Ring being released?,"According to the document, Elden Ring was released on February 25, 2022.",1
29,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who did Iga Swiatek defeat to win the Qatar Open 2022?,Jessica Pegula.,0
30,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Which country won the most medals at the 2022 Winter Olympics?,"According to the document, Norway won the most medals at the 2022 Winter Olympics with a total of 37 medals.",1
31,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who won the Male Vocalist of the Year at the 2022 CMA ?,Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards.,1
32,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who won the ACC Tournament in 2022?,"According to the document, the 2022 ACC tournament for men's basketball was won by Virginia Tech, as they upset Duke 82-67 on March 12, 2022.",1
33,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What chip does the iPhone 14 have?,"The iPhone 14 has the A15 chip, which is the same chip found in the iPhone 13 Pro models.",1
34,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,When is Google I/O 2022 scheduled to take place?,"Google I/O 2022 is scheduled to take place on May 11 and 12, 2022.",1
35,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,who will direct Irredeemable film?,BAFTA Film Award winner Jeymes Samuel (The Harder They Fall) is set to direct a film adaptation of the BOOM! Studios’ graphic novel series Irredeemable and its spin-off Incorruptible for Netflix.,1
36,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,What is the name of China's rover on Mars?,The name of China's rover on Mars is Zhurong.,1
37,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.8,Who is being honored with the 2022 Warrior Award?,Shad Gaspard is being honored with the 2022 Warrior Award.,1
