id,model,ability,query,model_response,accuracy
0,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Who is the director of 'Carole King & James Taylor: Just Call Out My Name' and when is its premiere?,"The director of 'Carole King & James Taylor: Just Call Out My Name' is Frank Marshall. The documentary premiered on January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Who won the 2022 and 2023 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl with a final score of 20-17 against Iowa. 
LSU won the 2023 Citrus Bowl with a final score of 63-7 against Purdue.",1
2,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Where are the Super Bowl held in 2022 and 2023?,"The Super Bowl in 2022 was held at SoFi Stadium in Inglewood, California. 
The Super Bowl in 2023 was held at State Farm Stadium in Glendale, Arizona.",1
3,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,What won best drama and best Musical/Comedy at 79th Golden Globes?,"At the 79th Golden Globes, ""The Power of the Dog"" won Best Picture Drama and ""West Side Story"" or ""Hacks"" and ""Abbott Elementary"" were winners in the Musical/Comedy category; however, specifically,  ""West Side Story"" won Best Motion Picture — Musical/Comedy. 

Best Television Series — Musical or Comedy was won by ""Hacks.""",1
4,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,When does the 2022 Olympic Winter Games start and end?,"The 2022 Beijing Olympic Winter Games took place from February 4 to 20, 2022.",1
5,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,When do the Paralympic and Olympic Winter Games 2022 start?,"The 2022 Winter Olympics officially kicked off with the Opening Ceremony on Friday, February 4, and ran through Sunday, February 20. The 2022 Winter Paralympics began on Friday, March 4, and ended on Sunday, March 13.",1
6,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Super Bowl 2022 date and location?,"The 2022 Super Bowl, also known as Super Bowl LVI, will take place on Sunday, February 13, 2022, at SoFi Stadium in Inglewood, California. SoFi Stadium is the home of the Los Angeles Rams and the Los Angeles Chargers.",1
7,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Who are the winners of the 2022 Nobel Prizes for chemistry and physics?,"The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi of Stanford University, Morten Meldal of the University of Copenhagen, and K. Barry Sharpless of Scripps Research for the development of click chemistry and bio-orthogonal chemistry.

The 2022 Nobel Prize in Physics was awarded to Alain Aspect, John F. Clauser, and Anton Zeilinger for their experiments with entangled photons, establishing the violation of Bell inequalities, and pioneering quantum information science.",1
8,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Who won the Super Bowl 2022 and who was named the MVP?,The Los Angeles Rams won Super Bowl LVI in 2022 by defeating the Cincinnati Bengals 23-20. Cooper Kupp was named the Super Bowl MVP.,1
9,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Who won men's and women's 500m speed skating at the 2022 Winter Olympics?,"For the women's 500m speed skating event at the 2022 Winter Olympics, Erin Jackson of the United States won the gold medal. 

For the men's 500m speed skating event at the 2022 Winter Olympics, Gao Tingyu of China won the gold medal.",1
10,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,When were Elden Ring and Splatoon 3 being released?,"Elden Ring was released on February 25, 2022, and Splatoon 3 was released on September 9, 2022.",1
11,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,Who were the Male and Female Vocalists of the Year at the 2022 CMA?,Chris Stapleton won the trophy for Male Vocalist of the Year and Lainey Wilson won the award for Female Vocalist of the Year at the 2022 CMA Awards.,1
12,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,What chips do the iPhone 14 and iPhone 14 pro have?,"The iPhone 14 has an A15 Bionic chip, while the iPhone 14 Pro has an A16 Bionic chip.",1
13,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,When and where is Google I/O 2022 scheduled to take place?,Google I/O 2022 is scheduled to take place on May 11 and May 12 at the Shoreline Amphitheater.,1
14,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,What films won the 2022 and 2023 Academy Awards for Best Picture?,"CODA won the 2022 Academy Award for Best Picture. 

Everything Everywhere All at Once won the 2023 Academy Award for Best Picture.",1
15,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,When will the 95th and 94th Academy Awards be held?,"The 94th Academy Awards was held on Sunday, March 27, 2022, and the 95th Academy Awards will be held on Sunday, March 12, 2023.",1
16,meta-llama/llama-4-scout-17b-16e-instruct,info_integration,What won Album of the Year at the GRAMMYs 2022 and what was the song of the year?,"Jon Batiste's 'We Are' won Album of the Year at the 2022 GRAMMYs. The song of the year was ""Just Like That"" and also ""Leave the Door Open"" which won Record of the Year and Song of the Year for Silk Sonic.",1
