exp_id,timestamp,domain,status,embedder,chunk_config,gen_model,judge_model,retrieval,rerank,context_order,k_retrieve,k_final,seed,n_examples,context_relevance,context_utilization,completeness,adherence,ref_context_relevance,ref_context_utilization,ref_completeness,ref_adherence,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_rmse,context_relevance_mae,context_utilization_mae,completeness_mae,adherence_mae,adherence_auroc,adherence_accuracy,adherence_pos_rate,n_gold_adherence,judge_used,runtime_sec
FIN-001,2026-08-06T01:08:10Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.1126,0.0644,0.66,0.7564,0.0671,0.0569,0.88,0.84,0.0967,0.0462,0.5066,0.5424,0.0594,0.0299,0.34,0.3922,0.244,0.6,0.84,25,0.88,1202.0
FIN-002,2026-08-06T01:26:19Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.0752,0.0798,0.7733,0.6971,0.0671,0.0569,0.88,0.84,0.0297,0.0796,0.5077,0.5393,0.0229,0.0517,0.3067,0.3829,0.4048,0.56,0.84,25,0.84,1085.3
FIN-003,2026-08-06T02:50:54Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.0979,0.0793,0.7973,0.8648,0.0671,0.0569,0.88,0.84,0.0741,0.0711,0.4019,0.411,0.0442,0.0392,0.2107,0.2419,0.5,0.8,0.84,25,0.88,294.1
FIN-004,2026-08-06T02:55:42Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,12,5,42,25,0.0985,0.0832,0.844,0.8162,0.0671,0.0569,0.88,0.84,0.074,0.0723,0.3405,0.4683,0.0417,0.0374,0.164,0.2905,0.4702,0.68,0.84,25,0.84,284.7
FIN-005,2026-08-06T03:01:29Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,12,5,42,25,0.0775,0.0606,0.74,0.8024,0.0671,0.0569,0.88,0.84,0.0591,0.0617,0.5,0.4396,0.0346,0.0376,0.3,0.2852,0.5536,0.76,0.84,25,0.88,343.7
FIN-006,2026-08-06T03:08:06Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,12,5,42,25,0.1268,0.0633,0.66,0.8237,0.0671,0.0569,0.88,0.84,0.1018,0.0406,0.5022,0.4966,0.0648,0.0285,0.34,0.3248,0.3571,0.64,0.84,25,0.96,394.5
FIN-007,2026-08-06T03:08:54Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,12,5,42,25,0.118,0.0676,0.7333,0.7905,0.0671,0.0569,0.88,0.84,0.0956,0.0457,0.3972,0.5314,0.0565,0.0294,0.2267,0.3581,0.3333,0.6,0.84,25,0.96,45.1
FIN-008,2026-08-06T03:16:18Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,12,5,42,25,0.0732,0.0625,0.7467,0.7318,0.0671,0.0569,0.88,0.84,0.0276,0.0601,0.4989,0.5232,0.0203,0.0358,0.2933,0.3482,0.4345,0.6,0.84,25,0.88,440.3
FIN-009,2026-08-06T03:16:21Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,12,5,42,25,0.0995,0.0831,0.8373,0.8428,0.0671,0.0569,0.88,0.84,0.0736,0.0714,0.3762,0.4271,0.0425,0.0394,0.2107,0.2639,0.4821,0.76,0.84,25,0.84,0.1
FIN-010,2026-08-06T03:16:44Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,12,5,42,25,0.0985,0.0832,0.844,0.8162,0.0671,0.0569,0.88,0.84,0.074,0.0723,0.3405,0.4683,0.0417,0.0374,0.164,0.2905,0.4702,0.68,0.84,25,0.84,19.7
FIN-011,2026-08-06T03:17:04Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,reverse,12,5,42,25,0.0775,0.0606,0.74,0.8024,0.0671,0.0569,0.88,0.84,0.0591,0.0617,0.5,0.4396,0.0346,0.0376,0.3,0.2852,0.5536,0.76,0.84,25,0.88,17.8
FIN-012,2026-08-06T03:17:26Z,finance,report-grade,finbert,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,sides,12,5,42,25,0.1268,0.0633,0.66,0.8237,0.0671,0.0569,0.88,0.84,0.1018,0.0406,0.5022,0.4966,0.0648,0.0285,0.34,0.3248,0.3571,0.64,0.84,25,0.96,18.2
FIN-013,2026-08-06T03:36:33Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.1593,0.0771,0.65,0.8823,0.0671,0.0569,0.88,0.84,0.1878,0.0591,0.5025,0.4699,0.1004,0.0454,0.35,0.2617,0.4881,0.68,0.84,25,0.92,951.0
FIN-014,2026-08-06T03:51:02Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.1562,0.0772,0.74,0.9433,0.0671,0.0569,0.88,0.84,0.1926,0.0573,0.4583,0.3933,0.0996,0.0418,0.3,0.19,0.5536,0.8,0.84,25,1.0,865.9
FIN-015,2026-08-06T04:01:15Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.1666,0.0917,0.6733,0.8613,0.0671,0.0569,0.88,0.84,0.206,0.1019,0.5175,0.4802,0.108,0.0625,0.3267,0.2987,0.3333,0.64,0.84,25,0.88,610.4
FIN-016,2026-08-06T04:15:35Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,12,5,42,25,0.1414,0.1056,0.7927,0.8163,0.0671,0.0569,0.88,0.84,0.1358,0.1152,0.4277,0.3742,0.0804,0.0564,0.2607,0.2263,0.6548,0.76,0.84,25,0.92,856.9
FIN-017,2026-08-06T04:30:04Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,12,5,42,25,0.1571,0.086,0.5867,0.8563,0.0671,0.0569,0.88,0.84,0.2066,0.1165,0.5715,0.4522,0.1012,0.0556,0.3733,0.2663,0.4583,0.64,0.84,25,0.84,866.0
FIN-018,2026-08-06T04:42:45Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,12,5,42,25,0.1704,0.111,0.74,0.8438,0.0671,0.0569,0.88,0.84,0.21,0.1276,0.4796,0.4277,0.1079,0.0728,0.26,0.2705,0.4643,0.72,0.84,25,0.84,757.5
FIN-019,2026-08-06T04:53:01Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,12,5,42,25,0.1954,0.1091,0.77,0.9328,0.0671,0.0569,0.88,0.84,0.2289,0.0991,0.4525,0.4175,0.1309,0.0672,0.27,0.2094,0.5357,0.76,0.84,25,0.92,613.5
FIN-020,2026-08-06T05:24:16Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,12,5,42,25,0.2404,0.1226,0.57,0.8587,0.0671,0.0569,0.88,0.84,0.2735,0.2237,0.5937,0.3648,0.178,0.1067,0.39,0.2053,0.6607,0.8,0.84,25,0.88,1871.5
FIN-021,2026-08-06T05:35:01Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,12,5,42,25,0.2296,0.1752,0.7867,0.8337,0.0671,0.0569,0.88,0.84,0.2629,0.2062,0.3859,0.4191,0.165,0.1301,0.2133,0.2603,0.5833,0.64,0.84,25,0.88,642.8
FIN-022,2026-08-06T05:35:35Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,12,5,42,25,0.1666,0.135,0.8727,0.8163,0.0671,0.0569,0.88,0.84,0.1662,0.1498,0.3208,0.3742,0.1056,0.0813,0.1807,0.2263,0.6548,0.76,0.84,25,0.92,30.5
FIN-023,2026-08-06T05:36:16Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,reverse,12,5,42,25,0.1782,0.086,0.5867,0.8563,0.0671,0.0569,0.88,0.84,0.2168,0.1165,0.5715,0.4522,0.1176,0.0556,0.3733,0.2663,0.4583,0.64,0.84,25,0.84,38.1
FIN-024,2026-08-06T05:36:49Z,finance,report-grade,finbert,sentence_4o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,sides,12,5,42,25,0.1662,0.111,0.74,0.8438,0.0671,0.0569,0.88,0.84,0.2101,0.1276,0.4796,0.4277,0.1083,0.0728,0.26,0.2705,0.4643,0.72,0.84,25,0.84,30.2
FIN-025,2026-08-06T05:53:12Z,finance,report-grade,finbert,fixed_150w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.374,0.27,0.6733,0.8301,0.0671,0.0569,0.88,0.84,0.3691,0.3135,0.4773,0.4543,0.31,0.2308,0.2867,0.2796,0.5238,0.64,0.84,25,0.96,860.1
