Experiment ID,Judge Model,Embedding Model,Chunking Strategy,Generator LLM,Retrieval Method,Re-ranking Method,Context Ordering,TRACe Context Relevance ↑,TRACe Context Utilization ↑,TRACe Completeness ↑,TRACe Adherence ↑,Valid_Judge_response,Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑,Status
LEG-047,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.2773,0.3333,0.3367,0.7742,14/25,0.4544,0.4222,0.7267,0.9022,LOW JUDGE COVERAGE
LEG-063,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,none,sides,0.188,0.2194,0.4025,0.88,8/25,0.3043,0.2404,0.5303,0.8478,LOW JUDGE COVERAGE
LEG-076,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.1954,0.2416,0.4921,0.872,10/25,0.3434,0.2762,0.564,0.6957,LOW JUDGE COVERAGE
LEG-065,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.172,0.1844,0.2128,0.9133,12/25,0.2978,0.1996,0.6988,0.663,LOW JUDGE COVERAGE
LEG-071,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.1926,0.2015,0.3013,0.88,11/25,0.3233,0.2377,0.6659,0.6196,LOW JUDGE COVERAGE
LEG-095,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.2133,0.2613,0.3,0.8296,19/25,0.3298,0.3314,0.7543,0.6196,LOW JUDGE COVERAGE
LEG-061,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,none,forward,0.1667,0.1821,0.3752,0.8933,10/25,0.3164,0.2059,0.5983,0.6087,LOW JUDGE COVERAGE
LEG-064,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.2307,0.2408,0.3147,0.8667,6/25,0.3651,0.286,0.6325,0.5978,LOW JUDGE COVERAGE
LEG-001,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.0581,0.159,0.302,0.7424,13/25,0.2211,0.3712,0.6446,0.587,LOW JUDGE COVERAGE
LEG-077,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.1945,0.2094,0.4995,0.8967,8/25,0.3362,0.2523,0.5075,0.5652,LOW JUDGE COVERAGE
LEG-074,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,none,reverse,0.1826,0.2316,0.3932,0.8,2/25,0.3017,0.2599,0.5481,0.5326,LOW JUDGE COVERAGE
LEG-046,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.1653,0.2293,0.52,0.9202,17/25,0.3379,0.2947,0.5927,0.5217,LOW JUDGE COVERAGE
LEG-048,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.2293,0.2613,0.49,0.8562,13/25,0.4047,0.317,0.565,0.4565,LOW JUDGE COVERAGE
LEG-078,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.2079,0.2601,0.6255,0.936,10/25,0.3414,0.2888,0.5053,0.413,LOW JUDGE COVERAGE
LEG-067,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,forward,0.186,0.2859,0.3101,0.92,2/25,0.3166,0.3007,0.6058,0.3913,LOW JUDGE COVERAGE
LEG-068,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.146,0.1985,0.3773,0.87,10/25,0.2789,0.2183,0.6424,0.3696,LOW JUDGE COVERAGE
LEG-069,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,sides,0.1966,0.2912,0.3461,0.88,3/25,0.3237,0.3015,0.5757,0.3696,LOW JUDGE COVERAGE
LEG-070,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.1846,0.2257,0.3633,0.88,10/25,0.3315,0.2889,0.6966,0.3696,LOW JUDGE COVERAGE
LEG-072,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.1819,0.2124,0.3233,0.9067,10/25,0.3292,0.2818,0.6778,0.3696,LOW JUDGE COVERAGE
LEG-083,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.1162,0.1165,0.5653,0.8133,19/25,0.2562,0.1672,0.5907,0.3696,LOW JUDGE COVERAGE
