id,model,ability,noise_ratio,query,model_response,accuracy
0,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,"The genre of the drama ""Good Sam"" is what?","Medical drama. 
According to Document 1 and Document 4, Good Sam is described as a medical genre drama and a solid medical drama.",1
2,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,Who won the 2022 Citrus Bowl?,Kentucky defeated Iowa 20-17 in the 2022 VRBO Citrus Bowl.,1
3,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Jason Semore was the defensive coordinator at Valdosta State before returning to Georgia Tech.,1
4,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,How many vehicles did Tesla deliver in 2021?,"According to Document 2, Tesla delivered 936,172 vehicles in 2021. This information is also corroborated by Document 4, which states that in 2021, Tesla delivered 936,172 vehicles around the world.",1
5,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,Where is the Super Bowl held in 2022?,"SoFi Stadium in Inglewood, California.",1
7,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,When will Truth Social launch on iOS?,"On February 21, 2022",1
8,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,What won best drama at 79th Golden Globes?,"The Power of the Dog. 
According to Document 1, The Power of the Dog was tied with Steven Spielberg's West Side Story and HBO's drama Succession with the most awards of the night, with three each, and included the award for Best Drama Film. 
Document 4 also states: ""“The Power of the Dog” won Best Picture Drama...""",1
9,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,How much are GA Tech softball 2022 season tickets?,I can not answer the question because of the insufficient information in documents.,0
10,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,When does the 2022 Olympic Winter Games end?,"February 20, 2022. 

According to Document 1, it is the last day of the Beijing 2022 Winter Olympics, and the closing ceremony was held at the Beijing National Stadium on February 20, 2022. Document 3 also confirms that the 2022 Winter Olympics were held from 4 to 20 February 2022.",1
11,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,Who won the Spanish Super Cup 2022?,"Real Madrid won the Spanish Super Cup 2022. They defeated Athletic in the final with a score of 2-0, courtesy of goals from Modrić and a Benzema penalty.",1
12,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,How much is Microsoft acquiring Activision Blizzard for?,$68.7 billion.,1
13,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,What is the price for a 30-second spot during the Super Bowl 2022?,"According to Document 5 and Document 1, the price for a 30-second spot during Super Bowl 2022 was $6.5 million.",1
14,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,When is the Sports Star of the Year Awards Show 2022?,"The Seattle Sports Star of the Year Awards Show 2022 was held on May 26, 2022.",1
15,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey.",1
16,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,What is the codename for Google's AR headset project?,Project Iris.,1
17,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,What is the name of Meta's AI supercomputer?,The AI Research Supercluster (RSC).,1
18,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,When will American students start taking digital SAT exams?,"In the spring of 2024. According to Document 4, ""SAT School Day will be administered digitally starting in the spring of 2024"" and also ""All schools will start administering the new digital SAT in spring 2024."" Additionally, Document 5 states that ""The SAT will be delivered digitally internationally beginning in 2023 and in the U.S. in 2024.""",1
