exp_id,timestamp,domain,dataset_config,n_examples,fingerprint,judge_model,embedder,chunk_config,gen_model,retrieval,rerank,context_order,context_relevance,context_utilization,completeness,adherence,judge_used,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_auroc,elapsed_s
FIN-001,2026-08-06T01:08:10Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.113,0.064,0.66,0.756,0.88,0.0967,0.0462,0.5066,0.244,1202.0
FIN-002,2026-08-06T01:26:19Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.075,0.08,0.773,0.697,0.84,0.0297,0.0796,0.5077,0.4048,1085.3
FIN-003,2026-08-06T01:48:38Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.089,0.063,0.687,0.833,0.76,0.0618,0.0591,0.5138,0.6429,1336.0
FIN-003,2026-08-06T02:50:54Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.098,0.079,0.797,0.865,0.88,0.0741,0.0711,0.4019,0.5,294.1
FIN-004,2026-08-06T02:55:42Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.099,0.083,0.844,0.816,0.84,0.074,0.0723,0.3405,0.4702,284.7
FIN-005,2026-08-06T03:01:29Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.077,0.061,0.74,0.802,0.88,0.0591,0.0617,0.5,0.5536,343.7
FIN-006,2026-08-06T03:08:06Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.127,0.063,0.66,0.824,0.96,0.1018,0.0406,0.5022,0.3571,394.5
FIN-007,2026-08-06T03:08:54Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.118,0.068,0.733,0.79,0.96,0.0956,0.0457,0.3972,0.3333,45.1
FIN-008,2026-08-06T03:16:18Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.073,0.063,0.747,0.732,0.88,0.0276,0.0601,0.4989,0.4345,440.3
FIN-009,2026-08-06T03:16:21Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.099,0.083,0.837,0.843,0.84,0.0736,0.0714,0.3762,0.4821,0.1
FIN-010,2026-08-06T03:16:44Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.099,0.083,0.844,0.816,0.84,0.074,0.0723,0.3405,0.4702,19.7
FIN-011,2026-08-06T03:17:04Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.077,0.061,0.74,0.802,0.88,0.0591,0.0617,0.5,0.5536,17.8
FIN-012,2026-08-06T03:17:26Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.127,0.063,0.66,0.824,0.96,0.1018,0.0406,0.5022,0.3571,18.2
FIN-013,2026-08-06T03:36:33Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,none,forward,0.159,0.077,0.65,0.882,0.92,0.1878,0.0591,0.5025,0.4881,951.0
FIN-014,2026-08-06T03:51:02Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,none,reverse,0.156,0.077,0.74,0.943,1.0,0.1926,0.0573,0.4583,0.5536,865.9
FIN-015,2026-08-06T04:01:15Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,none,sides,0.167,0.092,0.673,0.861,0.88,0.206,0.1019,0.5175,0.3333,610.4
FIN-016,2026-08-06T04:15:35Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.141,0.106,0.793,0.816,0.92,0.1358,0.1152,0.4277,0.6548,856.9
FIN-017,2026-08-06T04:30:04Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.157,0.086,0.587,0.856,0.84,0.2066,0.1165,0.5715,0.4583,866.0
FIN-018,2026-08-06T04:42:45Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.17,0.111,0.74,0.844,0.84,0.21,0.1276,0.4796,0.4643,757.5
FIN-019,2026-08-06T04:53:01Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,forward,0.195,0.109,0.77,0.933,0.92,0.2289,0.0991,0.4525,0.5357,613.5
FIN-020,2026-08-06T05:24:16Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.24,0.123,0.57,0.859,0.88,0.2735,0.2237,0.5937,0.6607,1871.5
FIN-021,2026-08-06T05:35:01Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,sides,0.23,0.175,0.787,0.834,0.88,0.2629,0.2062,0.3859,0.5833,642.8
FIN-022,2026-08-06T05:35:35Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.167,0.135,0.873,0.816,0.92,0.1662,0.1498,0.3208,0.6548,30.5
FIN-023,2026-08-06T05:36:16Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.178,0.086,0.587,0.856,0.84,0.2168,0.1165,0.5715,0.4583,38.1
FIN-024,2026-08-06T05:36:49Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.166,0.111,0.74,0.844,0.84,0.2101,0.1276,0.4796,0.4643,30.2
FIN-025,2026-08-06T05:53:12Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,none,forward,0.374,0.27,0.673,0.83,0.96,0.3691,0.3135,0.4773,0.5238,860.1
FIN-026,2026-08-06T06:08:43Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,none,reverse,0.276,0.226,0.627,0.851,0.8,0.2985,0.2722,0.5142,0.6429,927.5
FIN-027,2026-08-06T06:22:12Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,none,sides,0.316,0.232,0.64,0.81,0.88,0.3243,0.2652,0.4922,0.5,806.7
FIN-028,2026-08-06T06:38:33Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.38,0.288,0.653,0.843,0.88,0.375,0.3369,0.5457,0.369,977.3
FIN-029,2026-08-06T06:56:51Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.338,0.234,0.667,0.883,0.88,0.343,0.2608,0.5963,0.6012,1095.4
FIN-030,2026-08-06T07:11:44Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.398,0.306,0.7,0.836,0.92,0.3818,0.347,0.5323,0.4702,889.5
FIN-031,2026-08-06T07:18:19Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,none,forward,0.366,0.35,0.827,0.867,0.96,0.3611,0.3958,0.2667,0.4167,392.7
FIN-032,2026-08-06T07:33:25Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,none,reverse,0.324,0.218,0.567,0.938,0.84,0.3448,0.2707,0.5783,0.7024,903.0
FIN-033,2026-08-06T07:38:20Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,none,sides,0.374,0.242,0.607,0.712,0.96,0.3587,0.2745,0.5153,0.369,291.9
FIN-034,2026-08-06T07:38:43Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.38,0.288,0.653,0.843,0.88,0.375,0.3369,0.5457,0.369,19.2
FIN-035,2026-08-06T07:39:05Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.338,0.234,0.667,0.883,0.88,0.343,0.2608,0.5963,0.6012,19.0
FIN-036,2026-08-06T07:39:28Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.398,0.306,0.7,0.836,0.92,0.3818,0.347,0.5323,0.4702,20.3
FIN-037,2026-08-06T07:56:24Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,none,forward,0.088,0.068,0.763,0.777,0.92,0.0773,0.0563,0.5036,0.2143,897.7
FIN-038,2026-08-06T08:12:30Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,none,reverse,0.106,0.11,0.758,0.876,0.92,0.0852,0.2003,0.4539,0.5417,962.4
FIN-039,2026-08-06T08:36:17Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,none,sides,0.109,0.07,0.713,0.77,0.92,0.1023,0.0612,0.511,0.4881,1423.9
FIN-040,2026-08-06T08:55:53Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.105,0.087,0.847,0.858,0.96,0.0873,0.0831,0.3145,0.2857,1173.5
FIN-041,2026-08-06T09:12:13Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.095,0.067,0.636,0.841,0.8,0.0697,0.0787,0.5317,0.5714,976.8
FIN-042,2026-08-06T09:29:10Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.091,0.075,0.833,0.817,0.96,0.0627,0.0594,0.4256,0.4524,1013.8
FIN-043,2026-08-06T09:43:55Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,forward,0.092,0.077,0.837,0.764,0.84,0.0591,0.056,0.3775,0.4048,882.3
