id,model,ability,noise_ratio,query,model_response,accuracy
0,openai/gpt-oss-120b,noise_robustness,0.2,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The film **premiered on Sunday, January 2, 2022, at 9:00 p.m. ET/PT on CNN**.",1
1,openai/gpt-oss-120b,noise_robustness,0.2,"The genre of the drama ""Good Sam"" is what?",The drama **“Good Sam”** is classified as a **medical drama**.,1
2,openai/gpt-oss-120b,noise_robustness,0.2,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20–17.",1
3,openai/gpt-oss-120b,noise_robustness,0.2,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Jason Semore served as the **defensive coordinator** at Valdosta State before returning to Georgia Tech.,1
4,openai/gpt-oss-120b,noise_robustness,0.2,How many vehicles did Tesla deliver in 2021?,"Tesla delivered **936,172 vehicles** in 2021.",1
5,openai/gpt-oss-120b,noise_robustness,0.2,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas.,1
6,openai/gpt-oss-120b,noise_robustness,0.2,Where is the Super Bowl held in 2022?,"The 2022 Super Bowl (Super Bowl LVI) was played at **SoFi Stadium in Inglewood, California** – the home stadium of the Los Angeles Rams.",1
7,openai/gpt-oss-120b,noise_robustness,0.2,When will Truth Social launch on iOS?,Truth Social is scheduled to launch on iOS on **February 21 (2022)** – President’s Day in the United States.,1
8,openai/gpt-oss-120b,noise_robustness,0.2,What won best drama at 79th Golden Globes?,The winner of **Best Motion Picture – Drama** at the 79th Golden Globe Awards was **“The Power of the Dog.”**,1
9,openai/gpt-oss-120b,noise_robustness,0.2,How much are GA Tech softball 2022 season tickets?,The 2022 Georgia Tech softball season tickets are priced at **$100 per seat**.,1
10,openai/gpt-oss-120b,noise_robustness,0.2,When does the 2022 Olympic Winter Games end?,The 2022 Olympic Winter Games concluded on **20 February 2022** with the closing ceremony held at Beijing National Stadium.,1
11,openai/gpt-oss-120b,noise_robustness,0.2,Who won the Spanish Super Cup 2022?,Real Madrid won the 2022 Spanish Super Cup.,1
