model,ability,noise_ratio,n,metric,value
llama-3.1-8b-instant,noise_robustness,0.0,300,accuracy_%,97.6667
llama-3.1-8b-instant,noise_robustness,0.2,300,accuracy_%,97.6667
llama-3.1-8b-instant,noise_robustness,0.4,300,accuracy_%,98.3333
llama-3.1-8b-instant,noise_robustness,0.6,300,accuracy_%,77.6667
llama-3.1-8b-instant,noise_robustness,0.8,300,accuracy_%,79.3333
llama-3.1-8b-instant,negative_rejection,,300,rejection_rate_%,84.0
llama-3.1-8b-instant,info_integration,,100,accuracy_%,75.0
llama-3.1-8b-instant,counterfactual_robustness,,100,error_detection_%,5.0
llama-3.1-8b-instant,counterfactual_robustness,,100,error_correction_%,5.0
llama-3.3-70b-versatile,noise_robustness,0.0,300,accuracy_%,100.0
llama-3.3-70b-versatile,noise_robustness,0.2,300,accuracy_%,100.0
llama-3.3-70b-versatile,noise_robustness,0.4,340,accuracy_%,80.0
llama-3.3-70b-versatile,noise_robustness,0.6,300,accuracy_%,64.0
llama-3.3-70b-versatile,noise_robustness,0.8,300,accuracy_%,54.3333
llama-3.3-70b-versatile,negative_rejection,,300,rejection_rate_%,74.0
llama-3.3-70b-versatile,info_integration,,100,accuracy_%,94.0
llama-3.3-70b-versatile,counterfactual_robustness,,100,error_detection_%,33.0
llama-3.3-70b-versatile,counterfactual_robustness,,100,error_correction_%,33.0
meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.0,300,accuracy_%,99.6667
meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.2,300,accuracy_%,100.0
meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,300,accuracy_%,99.0
meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.6,300,accuracy_%,99.6667
meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.8,300,accuracy_%,94.6667
meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,,300,rejection_rate_%,79.3333
meta-llama/llama-4-scout-17b-16e-instruct,info_integration,,100,accuracy_%,97.0
meta-llama/llama-4-scout-17b-16e-instruct,counterfactual_robustness,,100,error_detection_%,27.0
meta-llama/llama-4-scout-17b-16e-instruct,counterfactual_robustness,,100,error_correction_%,27.0
qwen/qwen3-32b,noise_robustness,0.0,300,accuracy_%,99.6667
qwen/qwen3-32b,noise_robustness,0.2,300,accuracy_%,100.0
qwen/qwen3-32b,noise_robustness,0.4,300,accuracy_%,99.6667
qwen/qwen3-32b,noise_robustness,0.6,300,accuracy_%,100.0
qwen/qwen3-32b,noise_robustness,0.8,300,accuracy_%,99.0
qwen/qwen3-32b,negative_rejection,,300,rejection_rate_%,61.3333
qwen/qwen3-32b,info_integration,,100,accuracy_%,75.0
qwen/qwen3-32b,counterfactual_robustness,,100,error_detection_%,26.0
qwen/qwen3-32b,counterfactual_robustness,,100,error_correction_%,26.0
