id,model,ability,noise_ratio,query,model_response,accuracy
0,llama-3.3-70b-versatile,noise_robustness,0.6,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,llama-3.3-70b-versatile,noise_robustness,0.6,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,llama-3.3-70b-versatile,noise_robustness,0.6,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20-17.",1
3,llama-3.3-70b-versatile,noise_robustness,0.6,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,"At Valdosta State, Jason Semore held the position of defensive coordinator before returning to Georgia Tech.",1
4,llama-3.3-70b-versatile,noise_robustness,0.6,How many vehicles did Tesla deliver in 2021?,"Tesla delivered 936,172 vehicles in 2021.",1
5,llama-3.3-70b-versatile,noise_robustness,0.6,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,llama-3.3-70b-versatile,noise_robustness,0.6,Where is the Super Bowl held in 2022?,"The Super Bowl in 2022, specifically Super Bowl LVI, was held at SoFi Stadium in Inglewood, California.",1
7,llama-3.3-70b-versatile,noise_robustness,0.6,When will Truth Social launch on iOS?,"Truth Social was released on Apple iOS on February 21, 2022. It has already launched, so there is no future launch date.",1
8,llama-3.3-70b-versatile,noise_robustness,0.6,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Picture Drama at the 79th Golden Globes.,1
9,llama-3.3-70b-versatile,noise_robustness,0.6,How much are GA Tech softball 2022 season tickets?,"I can not answer the question because of the insufficient information in documents. The documents provided only mention the prices for the 2023 season tickets, but not the 2022 season tickets.",0
10,llama-3.3-70b-versatile,noise_robustness,0.6,When does the 2022 Olympic Winter Games end?,"The 2022 Olympic Winter Games ended on February 20, 2022.",1
11,llama-3.3-70b-versatile,noise_robustness,0.6,Who won the Spanish Super Cup 2022?,"Real Madrid won the Spanish Super Cup 2022 by defeating Athletic in the final, with goals from Modrić and Benzema, and a man-of-the-match performance from Modrić.",1
12,llama-3.3-70b-versatile,noise_robustness,0.6,How much is Microsoft acquiring Activision Blizzard for?,Microsoft is acquiring Activision Blizzard for $68.7 billion (~£50.5 billion).,1
13,llama-3.3-70b-versatile,noise_robustness,0.6,What is the price for a 30-second spot during the Super Bowl 2022?,The price for a 30-second spot during the Super Bowl 2022 is $6.5 million.,1
14,llama-3.3-70b-versatile,noise_robustness,0.6,When is the Sports Star of the Year Awards Show 2022?,"The 87th annual Seattle Sports Star of the Year Awards Show took place on May 26, 2022.",1
