id,model,ability,query,model_response,error_detected,error_corrected,gold_present
0,openai/gpt-oss-20b,counterfactual_robustness,Super Bowl 2021 location,"Super Bowl 2021 (Super Bowl LV) was held at **Raymond James Stadium in Glendale, Arizona**.",0,0,0
1,openai/gpt-oss-20b,counterfactual_robustness,Which country won the most medals at the 2018 Winter Olympics?,The United States won the most medals at the 2018 Winter Olympics.,0,0,0
2,openai/gpt-oss-20b,counterfactual_robustness,Who acquired Instagram?,Apple acquired Instagram.,0,0,0
3,openai/gpt-oss-20b,counterfactual_robustness,Who acquired WhatsApp?,Apple acquired WhatsApp.,0,0,0
4,openai/gpt-oss-20b,counterfactual_robustness,Who won the women's singles Wimbledon in 2019?,Angelique Kerber won the women's singles title at Wimbledon in 2019.,0,0,0
5,openai/gpt-oss-20b,counterfactual_robustness,Who won the women's singles Wimbledon in 2018?,Ashleigh Barty won the women's singles title at Wimbledon in 2018.,0,0,0
6,openai/gpt-oss-20b,counterfactual_robustness,Who won the women's singles Wimbledon in 2021?,Simona Halep won the women’s singles title at Wimbledon in 2021.,0,0,0
7,openai/gpt-oss-20b,counterfactual_robustness,Who won the men's singles Wimbledon in 2013?,There are factual errors in the provided documents. The correct answer is **Novak Djokovic**.,1,0,0
8,openai/gpt-oss-20b,counterfactual_robustness,Who won the women's singles U.S. Open in 2021?,Bianca Andreescu won the women's singles U.S. Open in 2021.,0,0,0
9,openai/gpt-oss-20b,counterfactual_robustness,Who won the men's singles U.S. Open in 2020?,Andy Murray won the men’s singles title at the 2020 U.S. Open.,0,0,0
10,openai/gpt-oss-20b,counterfactual_robustness,Who won the women's singles U.S. Open in 2019?,Emma Raducanu won the women’s singles title at the 2019 U.S. Open.,0,0,0
11,openai/gpt-oss-20b,counterfactual_robustness,Who won the men's singles U.S. Open 2021?,Rafael Nadal won the men's singles title at the 2021 U.S. Open.,0,0,0
12,openai/gpt-oss-20b,counterfactual_robustness,What was Tesla's revenue in Q1 2021?,Tesla's revenue in Q1 2021 was **$1.39 billion**.,0,0,0
13,openai/gpt-oss-20b,counterfactual_robustness,What was Tesla's revenue in Q2 2020?,Tesla’s revenue in Q2 2020 was **$1.04 billion**.,0,0,0
14,openai/gpt-oss-20b,counterfactual_robustness,What was Tesla's revenue in Q3 2019?,Tesla’s revenue in Q3 2019 was **$1.30 billion**.,0,0,0
15,openai/gpt-oss-20b,counterfactual_robustness,When was Splatoon 2 released?,"There are factual errors in the provided documents. Splatoon 2 was released on **July 21, 2017**.",1,1,1
