Experiment ID,Judge Model,Embedding Model,Chunking Strategy,Generator LLM,Retrieval Method,Re-ranking Method,Context Ordering,TRACe Context Relevance ↑,TRACe Context Utilization ↑,TRACe Completeness ↑,TRACe Adherence ↑,Valid_Judge_response,Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑
GK-040,openai/gpt-oss-120b,e5-large-v2,fixed_120w,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.4573,0.397,0.8533,0.8511,194/200,0.2795,0.2937,0.3845,0.6416
GK-031,openai/gpt-oss-120b,e5-large-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,forward,0.1863,0.1396,0.7983,0.8773,198/200,0.1085,0.0832,0.3782,0.6221
GK-001,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.1696,0.1474,0.808,0.94,24/25,0.0875,0.0691,0.2888,
GK-002,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.1857,0.1439,0.854,0.9,25/25,0.075,0.0851,0.3445,
GK-003,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.156,0.1421,0.7867,0.9,23/25,0.0974,0.0854,0.4495,
GK-004,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.1656,0.1456,0.8127,0.86,23/25,0.0945,0.0852,0.4181,
GK-005,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.161,0.141,0.8567,0.86,25/25,0.0909,0.0722,0.3124,
GK-006,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.1631,0.1295,0.8248,0.8867,25/25,0.0748,0.0813,0.4349,
GK-007,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.1644,0.1453,0.8713,0.9,23/25,0.0866,0.0605,0.2589,
GK-008,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.1871,0.1373,0.8133,0.9,24/25,0.0755,0.0844,0.3689,
GK-009,openai/gpt-oss-120b,e5-large-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.1654,0.1348,0.792,0.86,25/25,0.0827,0.088,0.4084,
