id,model,ability,noise_ratio,query,model_response,accuracy
0,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who won the 2022 Citrus Bowl?,Kentucky won the 2022 Citrus Bowl.,1
3,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,"According to the document, Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.",1
4,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,How many vehicles did Tesla deliver in 2021?,"According to the document, Tesla delivered 936,172 vehicles in 2021.",1
5,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Which company acquired ShowBiz Cinemas?,Evo Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Where is the Super Bowl held in 2022?,"The Super Bowl in 2022 is held at SoFi Stadium in Inglewood, California.",1
7,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When will Truth Social launch on iOS?,"According to the documents, Truth Social will launch on iOS on February 21st, 2022.",1
8,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Motion Picture – Drama at the 79th Golden Globes.,1
9,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,How much are GA Tech softball 2022 season tickets?,Season tickets are located in the reserved chairback sections of Mewborn Field and cost $100 per seat.,1
10,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When does the 2022 Olympic Winter Games end?,"According to the document, the 2022 Winter Olympics ended on 20 February 2022.",1
11,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who won the Spanish Super Cup 2022?,"Real Madrid won the Spanish Super Cup 2022, defeating Athletic Bilbao 2-0 in the final.",1
12,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,How much is Microsoft acquiring Activision Blizzard for?,"According to the documents, Microsoft is acquiring Activision Blizzard for $68.7 billion.",1
13,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What is the price for a 30-second spot during the Super Bowl 2022?,"According to the document, the price for a 30-second spot during the Super Bowl 2022 is $6.5 million.",1
14,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When is the Sports Star of the Year Awards Show 2022?,"The Seattle Sports Star of the Year Awards Show 2022 was held on May 26, 2022.",1
15,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., the late Lawrence Williams, and Ronald Yancey.",1
16,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What is the codename for Google's AR headset project?,The codename for Google's AR headset project is Project Iris.,1
17,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What is the name of Meta's AI supercomputer?,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1
18,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When will American students start taking digital SAT exams?,"According to the document, American students will start taking digital SAT exams in the spring of 2024.",1
19,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When do the Paralympic Winter Games 2022 start?,"The 2022 Paralympic Winter Games begin on Friday, March 4, 2022, and end on Sunday, March 13, 2022, in Beijing, China.",1
20,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Super Bowl 2022 date,"The Super Bowl 2022 will take place on Sunday, February 13, 2022.",1
21,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who won the 2022 Nobel Prize for chemistry?,"Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless won the 2022 Nobel Prize for chemistry.",1
22,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who won the Super Bowl 2022?,"The Los Angeles Rams won the Super Bowl 2022, defeating the Cincinnati Bengals 23-20.",1
23,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who won women's 500m speed skating at the 2022 Winter Olympics?,Erin Jackson won the women's 500m speed skating at the 2022 Winter Olympics.,1
24,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When was Lost Ark game release on Steam?,"According to the document, Lost Ark was released on Steam on February 11, 2022.",1
25,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"According to the documents, Jessie Diggins won the following medals in the Beijing 2022 Olympic Games:

* Silver medal in the 30km mass start cross-country race
* Bronze medal in the individual cross-country sprint",1
26,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What is the genre of The Endgame (TV show)?,The genre of The Endgame (TV show) is Crime drama · Thriller.,1
27,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When did Russia invade Ukraine?,"According to the document, Russia invaded Ukraine on February 24, 2022.",1
28,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When was Elden Ring being released?,"According to the document, Elden Ring was released on February 25, 2022, for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S.",1
29,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who did Iga Swiatek defeat to win the Qatar Open 2022?,"According to the document, Iga Swiatek defeated Anett Kontaveit in the final of the Qatar Open 2022, winning the match with only 2 games lost.",1
30,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Which country won the most medals at the 2022 Winter Olympics?,"According to the document, Norway won the most medals at the 2022 Winter Olympics with a total of 37 medals.",1
31,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who won the Male Vocalist of the Year at the 2022 CMA ?,Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards.,1
32,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who won the ACC Tournament in 2022?,"The Virginia Tech Hokies won the 2022 ACC Tournament, defeating Duke 82-67 in the final game on March 12, 2022.",1
33,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What chip does the iPhone 14 have?,The iPhone 14 has the A15 chip.,1
34,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,When is Google I/O 2022 scheduled to take place?,"Google I/O 2022 is scheduled to take place on May 11 and 12, 2022.",1
35,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,who will direct Irredeemable film?,Jeymes Samuel will direct the Irredeemable film.,1
36,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,What is the name of China's rover on Mars?,The name of China's rover on Mars is Zhurong.,1
37,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.0,Who is being honored with the 2022 Warrior Award?,Shad Gaspard is being honored with the 2022 Warrior Award.,1
