id,model,ability,query,model_response,accuracy
0,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Super Bowl 2021 location,"The location of Super Bowl 2021 was Hard Rock Stadium in Miami Gardens, Florida.",0
1,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Which country won the most medals at the 2018 Winter Olympics?,"Norway won the most medals at the 2018 Winter Olympics, with a total of 39 medals, including 14 gold medals.",1
2,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who acquired Instagram?,Facebook acquired Instagram in 2012.,1
3,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who acquired WhatsApp?,Facebook (now known as Meta) acquired WhatsApp in 2014 for approximately $19 billion.,1
4,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the women's singles Wimbledon in 2019?,"The women's singles title at Wimbledon in 2019 was won by Simona Halep. She defeated Serena Williams in the final with a score of 6-2, 6-2.",1
5,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the women's singles Wimbledon in 2018?,Angelique Kerber won the women's singles title at Wimbledon in 2018.,1
6,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the women's singles Wimbledon in 2021?,The women's singles title at Wimbledon in 2021 was won by Ashleigh Barty.,1
7,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the men's singles Wimbledon in 2013?,The winner of the men's singles title at Wimbledon in 2013 was Andy Murray.,1
8,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the women's singles U.S. Open in 2021?,The women's singles U.S. Open in 2021 was won by Emma Raducanu.,1
9,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the men's singles U.S. Open in 2020?,"The men's singles U.S. Open in 2020 was won by Dominic Thiem. He defeated Alexander Zverev in the final with a score of 2-6, 4-6, 6-4, 6-3, 7-6(8-6).",1
10,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the women's singles U.S. Open in 2019?,The women's singles U.S. Open in 2019 was won by Bianca Andreescu.,1
11,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the men's singles U.S. Open 2021?,Novak Djokovic won the men's singles U.S. Open 2021.,0
12,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,What was Tesla's revenue in Q1 2021?,Tesla's revenue in Q1 2021 was $10.4 billion.,1
13,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,What was Tesla's revenue in Q2 2020?,Tesla's revenue in Q2 2020 was $5.53 billion.,0
14,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,What was Tesla's revenue in Q3 2019?,Tesla's revenue in Q3 2019 was $6.3 billion.,1
15,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,When was Splatoon 2 released?,"Splatoon 2 was released on July 21, 2017, for the Nintendo Switch.",1
16,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who acquired 20th Century Fox?,"The Walt Disney Company acquired 20th Century Fox in 2019. The acquisition was completed on March 20, 2019, and it included 20th Century Fox's film and television studios, as well as its cable networks, including FX and National Geographic. The acquisition was valued at approximately $71.3 billion.",1
17,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the French Presidential Election 2017?,"Emmanuel Macron won the French Presidential Election 2017. He defeated Marine Le Pen in the second round of the election on May 7, 2017.",1
18,meta-llama/llama-3.1-8b-instruct,counterfactual_nodocs,Who won the US Presidential Election 2020?,"Joe Biden won the US Presidential Election 2020. He defeated incumbent President Donald Trump in the election, winning 306 electoral votes to Trump's 232. Biden also received more than 81 million votes in the popular vote, compared to Trump's 74 million.",1
