idx,question,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,Which viruses may not cause prolonged inflammation due to strong induction of antiviral clearance?,0.5882,0.4118,0.7,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,When was the first case of COVID-19 identified?,0.2692,0.0,0.0,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,How many antigens could be detected by Liew's multiplex ELISA test?,0.875,0.25,0.2857,1,0.125,0.0625,0.5,1
3,What is the structure of Hantaan virus?,0.15,0.1,0.6667,1,0.3,0.3,1.0,1
4,How many people did SARS-CoV infect?,0.2667,0.0667,0.25,1,0.06666666666666667,0.06666666666666667,1.0,1
5,What was the focus of the study?,0.7647,0.0588,0.0769,0,0.29411764705882354,0.17647058823529413,0.6,1
6,What contributed to a large part of mammalian genomic sequence?,1.0,0.0,0.0,1,0.05555555555555555,0.05555555555555555,1.0,1
7,What is severe MARS noted for?,0.2727,0.0,0.0,1,0.36363636363636365,0.045454545454545456,0.125,1
8,What animal models exist for both the asymptomatic carriage of PUUV and SNV?,1.0,0.0526,0.0526,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,What does Clade A contain?,0.8333,0.0,0.0,0,1.0,0.041666666666666664,0.041666666666666664,1
10,What is  an example of anti-viral defense in bats?,0.7,0.05,0.0714,1,0.35,0.1,0.2857142857142857,1
11,What could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant m,1.0,0.1111,0.1111,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,What are exhibited in the two phases?,1.0,0.0667,0.0667,1,0.13333333333333333,0.06666666666666667,0.5,1
13,How was HFRS  first brought to the attention of western medicine ?,0.2632,0.0526,0.2,1,0.10526315789473684,0.05263157894736842,0.5,1
14,What has been the application of phage display technology?,1.0,0.3684,0.3684,0,0.2631578947368421,0.15789473684210525,0.6,1
15,Are the modern day Influenza viruses related to the 1918 Spanish Influenza virus?,0.5,0.5,0.2,0,0.2,0.2,1.0,1
16,In how many cases the symptoms at diagnosis were consistent with the case definition for acute respi,0.5294,0.0,0.0,1,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,Which may be an occupational group with significantly higher incidence of seropositivity to MERS-CoV,0.5294,0.0588,0.1111,0,0.058823529411764705,0.058823529411764705,1.0,1
18,Is there an Influenza vaccine?,0.6667,0.1667,0.25,0,0.3333333333333333,0.3333333333333333,1.0,0
19,What is a future potential of filamentous phage?,1.0,0.05,0.05,1,0.1,0.1,1.0,1
20,What is the treatment for MERS-COV?,0.6897,0.1724,0.25,0,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
