exp_id,timestamp,domain,status,embedder,chunk_config,gen_model,judge_model,retrieval,rerank,context_order,k_retrieve,k_final,seed,n_examples,context_relevance,context_utilization,completeness,adherence,ref_context_relevance,ref_context_utilization,ref_completeness,ref_adherence,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_rmse,context_relevance_mae,context_utilization_mae,completeness_mae,adherence_mae,adherence_auroc,adherence_accuracy,adherence_pos_rate,n_gold_adherence,judge_used,runtime_sec
LEG-001,2026-08-05T03:46:56+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.0581,0.159,0.302,0.7424,0.0756,0.0194,0.7466,0.92,0.2211,0.3712,0.6446,0.4927,0.1043,0.1641,0.5092,0.2576,0.587,0.76,0.92,25,0.52,515.8
LEG-002,2026-08-05T03:53:42+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,402.8
LEG-003,2026-08-05T03:53:46+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.4
LEG-004,2026-08-05T03:54:04+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,15.0
LEG-005,2026-08-05T03:54:08+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.6
LEG-006,2026-08-05T03:54:13+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.6
LEG-007,2026-08-05T03:54:17+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.5
LEG-008,2026-08-05T03:54:20+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.4
LEG-009,2026-08-05T03:54:24+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.4
LEG-010,2026-08-05T03:54:29+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.8
LEG-011,2026-08-05T03:54:34+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.5
LEG-012,2026-08-05T03:54:38+00:00,legal,done,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.6
LEG-013,2026-08-05T04:03:30+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.0802,0.0669,0.3667,0.9467,0.0756,0.0194,0.7466,0.92,0.2439,0.1502,0.7333,0.3528,0.1093,0.0656,0.6189,0.1333,0.4565,0.88,0.92,25,1.0,491.7
LEG-014,2026-08-05T04:07:38+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.0855,0.0589,0.3667,0.8533,0.0756,0.0194,0.7466,0.92,0.2266,0.0968,0.7611,0.457,0.1143,0.0574,0.6835,0.2267,0.3913,0.8,0.92,25,1.0,244.5
LEG-015,2026-08-05T04:10:12+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.0802,0.0695,0.4067,0.8667,0.0756,0.0194,0.7466,0.92,0.2448,0.1507,0.7333,0.4522,0.1143,0.0681,0.6189,0.2133,0.413,0.8,0.92,25,1.0,151.2
LEG-016,2026-08-05T04:13:57+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,12,5,42,25,0.0697,0.0431,0.3467,0.9067,0.0756,0.0194,0.7466,0.92,0.2095,0.0594,0.7412,0.4055,0.0976,0.043,0.6435,0.1733,0.4348,0.84,0.92,25,1.0,221.5
LEG-017,2026-08-05T04:16:58+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,12,5,42,25,0.0695,0.0482,0.3787,0.8667,0.0756,0.0194,0.7466,0.92,0.2123,0.0749,0.7286,0.4522,0.0974,0.0482,0.6115,0.2133,0.413,0.8,0.92,25,1.0,177.4
LEG-018,2026-08-05T04:18:59+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,12,5,42,25,0.0829,0.0589,0.4033,0.92,0.0756,0.0194,0.7466,0.92,0.2262,0.0968,0.7072,0.4,0.1123,0.057,0.5868,0.16,0.4565,0.84,0.92,25,1.0,117.9
LEG-019,2026-08-05T04:23:01+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,12,5,42,25,0.0827,0.0667,0.4433,0.9467,0.0756,0.0194,0.7466,0.92,0.2212,0.0996,0.706,0.3528,0.1126,0.0624,0.5913,0.1333,0.4565,0.88,0.92,25,1.0,238.8
LEG-020,2026-08-05T04:27:44+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,12,5,42,25,0.0907,0.0853,0.46,0.8933,0.0756,0.0194,0.7466,0.92,0.2373,0.1326,0.6929,0.4216,0.1312,0.0861,0.5687,0.1867,0.4348,0.8,0.92,25,1.0,280.2
LEG-021,2026-08-05T04:31:16+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,12,5,42,25,0.0747,0.0587,0.3867,0.88,0.0756,0.0194,0.7466,0.92,0.2259,0.0993,0.7001,0.4472,0.1138,0.0619,0.5976,0.2,0.4348,0.8,0.92,25,1.0,208.9
LEG-022,2026-08-05T04:33:34+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,12,5,42,25,0.088,0.0667,0.4267,0.8867,0.0756,0.0194,0.7466,0.92,0.2201,0.0996,0.709,0.4177,0.1111,0.0649,0.5968,0.1933,0.413,0.84,0.92,25,1.0,135.0
LEG-023,2026-08-05T04:36:02+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,reverse,12,5,42,25,0.096,0.0533,0.357,0.7933,0.0756,0.0194,0.7466,0.92,0.222,0.0816,0.6947,0.423,0.1155,0.053,0.5886,0.2067,0.6522,0.84,0.92,25,1.0,145.1
LEG-024,2026-08-05T04:38:17+00:00,legal,done,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,sides,12,5,42,25,0.0987,0.064,0.4027,0.8267,0.0756,0.0194,0.7466,0.92,0.2452,0.1075,0.6583,0.4944,0.1342,0.0668,0.517,0.2533,0.3913,0.76,0.92,25,1.0,131.9
LEG-025,2026-08-05T04:50:56+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.096,0.0589,0.4486,0.88,0.0756,0.0194,0.7466,0.92,0.25,0.0944,0.6754,0.3464,0.1331,0.0528,0.5416,0.12,0.7065,0.88,0.92,25,1.0,718.8
LEG-026,2026-08-05T04:55:59+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.0979,0.0659,0.48,0.82,0.0756,0.0194,0.7466,0.92,0.2479,0.1191,0.672,0.4123,0.1345,0.0613,0.5302,0.18,0.6739,0.84,0.92,25,1.0,299.3
LEG-027,2026-08-05T04:57:45+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.0829,0.0541,0.4267,0.88,0.0756,0.0194,0.7466,0.92,0.2364,0.0934,0.6899,0.3464,0.1222,0.0512,0.5635,0.12,0.7065,0.88,0.92,25,1.0,103.3
LEG-028,2026-08-05T05:02:47+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,12,5,42,25,0.0849,0.0533,0.4533,0.864,0.0756,0.0194,0.7466,0.92,0.2316,0.0676,0.7049,0.3555,0.1176,0.0447,0.5853,0.136,0.6957,0.88,0.92,25,1.0,298.1
LEG-029,2026-08-05T05:06:24+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,12,5,42,25,0.0613,0.0437,0.46,0.8227,0.0756,0.0194,0.7466,0.92,0.2132,0.0566,0.6794,0.3858,0.0996,0.0376,0.5502,0.1773,0.6739,0.84,0.92,25,1.0,214.1
LEG-030,2026-08-05T05:11:09+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,12,5,42,25,0.0749,0.0485,0.4421,0.8433,0.0756,0.0194,0.7466,0.92,0.2241,0.0629,0.6994,0.3745,0.1113,0.0403,0.5925,0.1567,0.6848,0.84,0.92,25,1.0,282.2
LEG-031,2026-08-05T05:15:19+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,12,5,42,25,0.0952,0.0581,0.48,0.78,0.0756,0.0194,0.7466,0.92,0.2318,0.0881,0.6776,0.4583,0.1303,0.0579,0.5322,0.22,0.6522,0.8,0.92,25,1.0,246.1
LEG-032,2026-08-05T05:20:36+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,12,5,42,25,0.0739,0.0403,0.4533,0.73,0.0756,0.0194,0.7466,0.92,0.2217,0.0596,0.68,0.4752,0.112,0.0407,0.5456,0.27,0.6087,0.8,0.92,25,1.0,314.2
LEG-033,2026-08-05T05:24:43+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,12,5,42,25,0.0824,0.047,0.4467,0.7167,0.0756,0.0194,0.7466,0.92,0.2244,0.0697,0.6792,0.5069,0.1189,0.0475,0.5389,0.2833,0.6087,0.76,0.92,25,1.0,244.2
LEG-034,2026-08-05T05:31:15+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,12,5,42,25,0.1013,0.0677,0.5566,0.812,0.0756,0.0194,0.7466,0.92,0.2406,0.0833,0.6318,0.4142,0.1352,0.0573,0.4781,0.188,0.663,0.84,0.92,25,1.0,388.3
LEG-035,2026-08-05T05:36:34+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,reverse,12,5,42,25,0.0928,0.0614,0.5652,0.8133,0.0756,0.0194,0.7466,0.92,0.2268,0.0697,0.5901,0.3859,0.1267,0.0504,0.4294,0.1867,0.663,0.88,0.92,25,1.0,315.9
LEG-036,2026-08-05T05:42:26+00:00,legal,done,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,sides,12,5,42,25,0.1101,0.0612,0.4664,0.8,0.0756,0.0194,0.7466,0.92,0.24,0.0743,0.6694,0.4472,0.1439,0.0507,0.5482,0.2,0.663,0.8,0.92,25,1.0,349.2
LEG-037,2026-08-05T05:52:26+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.2133,0.2293,0.4533,0.8667,0.0756,0.0194,0.7466,0.92,0.4026,0.3834,0.623,0.4522,0.2553,0.2218,0.4757,0.2133,0.413,0.8,0.92,25,1.0,569.0
LEG-038,2026-08-05T05:56:05+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.2213,0.2773,0.44,0.852,0.0756,0.0194,0.7466,0.92,0.4074,0.4391,0.6248,0.4551,0.2633,0.2679,0.489,0.228,0.3696,0.8,0.92,25,1.0,215.1
LEG-039,2026-08-05T05:58:46+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.1973,0.2373,0.44,0.8433,0.0756,0.0194,0.7466,0.92,0.3869,0.3894,0.6406,0.4598,0.2393,0.2298,0.489,0.2367,0.3696,0.8,0.92,25,0.96,158.2
LEG-040,2026-08-05T06:04:00+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,12,5,42,25,0.2053,0.1733,0.4667,0.8107,0.0756,0.0194,0.7466,0.92,0.397,0.307,0.5843,0.5008,0.2469,0.166,0.4156,0.2693,0.3696,0.76,0.92,25,1.0,310.5
LEG-041,2026-08-05T06:07:55+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,12,5,42,25,0.2053,0.1733,0.42,0.784,0.0756,0.0194,0.7466,0.92,0.3928,0.307,0.6274,0.5183,0.2469,0.166,0.4823,0.296,0.3478,0.72,0.92,25,0.96,232.1
LEG-042,2026-08-05T06:12:18+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,12,5,42,25,0.2213,0.2293,0.52,0.8178,0.0756,0.0194,0.7466,0.92,0.4242,0.3732,0.5747,0.4964,0.2629,0.2195,0.409,0.2622,0.3696,0.76,0.92,25,1.0,259.4
LEG-043,2026-08-05T06:17:58+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,12,5,42,25,0.1973,0.1893,0.3533,0.7971,0.0756,0.0194,0.7466,0.92,0.377,0.2946,0.6483,0.5054,0.2398,0.1814,0.5045,0.2829,0.3043,0.76,0.92,25,0.88,337.3
LEG-044,2026-08-05T06:23:21+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,12,5,42,25,0.2053,0.1813,0.2933,0.7668,0.0756,0.0194,0.7466,0.92,0.3554,0.2696,0.6526,0.4996,0.2333,0.1728,0.5045,0.2999,0.4457,0.76,0.92,25,0.8,319.4
LEG-045,2026-08-05T06:27:13+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,12,5,42,25,0.2533,0.2373,0.4133,0.8371,0.0756,0.0194,0.7466,0.92,0.4396,0.3734,0.6483,0.4593,0.2929,0.2279,0.5144,0.2429,0.3043,0.8,0.92,25,0.8,228.7
LEG-046,2026-08-05T06:34:24+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,12,5,42,25,0.1653,0.2293,0.52,0.9202,0.0756,0.0194,0.7466,0.92,0.3379,0.2947,0.5927,0.3193,0.2116,0.2163,0.43,0.1555,0.5217,0.92,0.92,25,0.68,428.7
LEG-047,2026-08-05T06:40:29+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,reverse,12,5,42,25,0.2773,0.3333,0.3367,0.7742,0.0756,0.0194,0.7466,0.92,0.4544,0.4222,0.7267,0.3597,0.3165,0.3197,0.5998,0.2125,0.9022,0.88,0.92,25,0.56,361.7
LEG-048,2026-08-05T06:45:31+00:00,legal,done,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,sides,12,5,42,25,0.2293,0.2613,0.49,0.8562,0.0756,0.0194,0.7466,0.92,0.4047,0.317,0.565,0.3972,0.2738,0.2472,0.3887,0.2195,0.4565,0.84,0.92,25,0.52,298.2
LEG-049,2026-08-05T06:45:46+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.7
LEG-050,2026-08-05T06:45:50+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.8
LEG-051,2026-08-05T06:45:54+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.9
LEG-052,2026-08-05T06:45:59+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.9
LEG-053,2026-08-05T06:46:04+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.9
LEG-054,2026-08-05T06:46:10+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,2.5
LEG-055,2026-08-05T06:46:14+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.7
LEG-056,2026-08-05T06:46:17+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.7
LEG-057,2026-08-05T06:46:22+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,0.9
LEG-058,2026-08-05T06:46:27+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.8
LEG-059,2026-08-05T06:46:32+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,reverse,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.9
LEG-060,2026-08-05T06:46:37+00:00,legal,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,sides,12,5,42,25,0.0529,0.0929,0.28,1.0,0.0756,0.0194,0.7466,0.92,0.1569,0.2322,0.7503,0.2828,0.0783,0.0987,0.6416,0.08,0.5,0.92,0.92,25,1.0,1.9
LEG-061,2026-08-05T06:54:53+00:00,legal,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,12,5,42,25,0.1667,0.1821,0.3752,0.8933,0.0756,0.0194,0.7466,0.92,0.3164,0.2059,0.5983,0.3127,0.197,0.1707,0.4507,0.16,0.6087,0.88,0.92,25,0.4,487.2
LEG-062,2026-08-05T07:04:19+00:00,legal,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,12,5,42,25,0.1667,0.2032,0.209,0.88,0.0756,0.0194,0.7466,0.92,0.2952,0.2245,0.6923,0.383,0.1909,0.1948,0.6046,0.2,0.3478,0.88,0.92,25,0.2,562.8
LEG-063,2026-08-05T07:09:24+00:00,legal,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,12,5,42,25,0.188,0.2194,0.4025,0.88,0.0756,0.0194,0.7466,0.92,0.3043,0.2404,0.5303,0.2749,0.2054,0.2027,0.388,0.1467,0.8478,0.88,0.92,25,0.32,302.6
