id,model,ability,query,model_response,rejected
0,llama-3.3-70b-versatile,negative_rejection,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,[ERROR_MAX_RETRIES],0
1,llama-3.3-70b-versatile,negative_rejection,"The genre of the drama ""Good Sam"" is what?",[ERROR_MAX_RETRIES],0
2,llama-3.3-70b-versatile,negative_rejection,Who won the 2022 Citrus Bowl?,[ERROR_MAX_RETRIES],0
3,llama-3.3-70b-versatile,negative_rejection,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,[ERROR_MAX_RETRIES],0
4,llama-3.3-70b-versatile,negative_rejection,How many vehicles did Tesla deliver in 2021?,[ERROR_MAX_RETRIES],0
5,llama-3.3-70b-versatile,negative_rejection,Which company acquired ShowBiz Cinemas?,[ERROR_MAX_RETRIES],0
6,llama-3.3-70b-versatile,negative_rejection,Where is the Super Bowl held in 2022?,[ERROR_MAX_RETRIES],0
7,llama-3.3-70b-versatile,negative_rejection,When will Truth Social launch on iOS?,[ERROR_MAX_RETRIES],0
8,llama-3.3-70b-versatile,negative_rejection,What won best drama at 79th Golden Globes?,[ERROR_MAX_RETRIES],0
9,llama-3.3-70b-versatile,negative_rejection,How much are GA Tech softball 2022 season tickets?,I can not answer the question because of the insufficient information in documents.,1
10,llama-3.3-70b-versatile,negative_rejection,When does the 2022 Olympic Winter Games end?,[ERROR_MAX_RETRIES],0
11,llama-3.3-70b-versatile,negative_rejection,Who won the Spanish Super Cup 2022?,I can not answer the question because of the insufficient information in documents.,1
12,llama-3.3-70b-versatile,negative_rejection,How much is Microsoft acquiring Activision Blizzard for?,[ERROR_MAX_RETRIES],0
13,llama-3.3-70b-versatile,negative_rejection,What is the price for a 30-second spot during the Super Bowl 2022?,[ERROR_MAX_RETRIES],0
14,llama-3.3-70b-versatile,negative_rejection,When is the Sports Star of the Year Awards Show 2022?,I can not answer the question because of the insufficient information in documents.,1
15,llama-3.3-70b-versatile,negative_rejection,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,I can not answer the question because of the insufficient information in documents.,1
16,llama-3.3-70b-versatile,negative_rejection,What is the codename for Google's AR headset project?,[ERROR_MAX_RETRIES],0
17,llama-3.3-70b-versatile,negative_rejection,What is the name of Meta's AI supercomputer?,[ERROR_MAX_RETRIES],0
18,llama-3.3-70b-versatile,negative_rejection,When will American students start taking digital SAT exams?,[ERROR_MAX_RETRIES],0
19,llama-3.3-70b-versatile,negative_rejection,When do the Paralympic Winter Games 2022 start?,[ERROR_MAX_RETRIES],0
20,llama-3.3-70b-versatile,negative_rejection,Super Bowl 2022 date,[ERROR_MAX_RETRIES],0
21,llama-3.3-70b-versatile,negative_rejection,Who won the 2022 Nobel Prize for chemistry?,[ERROR_MAX_RETRIES],0
22,llama-3.3-70b-versatile,negative_rejection,Who won the Super Bowl 2022?,[ERROR_MAX_RETRIES],0
23,llama-3.3-70b-versatile,negative_rejection,Who won women's 500m speed skating at the 2022 Winter Olympics?,[ERROR_MAX_RETRIES],0
24,llama-3.3-70b-versatile,negative_rejection,When was Lost Ark game release on Steam?,[ERROR_MAX_RETRIES],0
25,llama-3.3-70b-versatile,negative_rejection,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,[ERROR_MAX_RETRIES],0
26,llama-3.3-70b-versatile,negative_rejection,What is the genre of The Endgame (TV show)?,[ERROR_MAX_RETRIES],0
27,llama-3.3-70b-versatile,negative_rejection,When did Russia invade Ukraine?,[ERROR_MAX_RETRIES],0
28,llama-3.3-70b-versatile,negative_rejection,When was Elden Ring being released?,[ERROR_MAX_RETRIES],0
29,llama-3.3-70b-versatile,negative_rejection,Who did Iga Swiatek defeat to win the Qatar Open 2022?,[ERROR_MAX_RETRIES],0
30,llama-3.3-70b-versatile,negative_rejection,Which country won the most medals at the 2022 Winter Olympics?,I can not answer the question because of the insufficient information in documents.,1
31,llama-3.3-70b-versatile,negative_rejection,Who won the Male Vocalist of the Year at the 2022 CMA ?,I can not answer the question because of the insufficient information in documents.,1
32,llama-3.3-70b-versatile,negative_rejection,Who won the ACC Tournament in 2022?,I can not answer the question because of the insufficient information in documents.,1
33,llama-3.3-70b-versatile,negative_rejection,What chip does the iPhone 14 have?,I can not answer the question because of the insufficient information in documents.,1
34,llama-3.3-70b-versatile,negative_rejection,When is Google I/O 2022 scheduled to take place?,I can not answer the question because of the insufficient information in documents.,1
35,llama-3.3-70b-versatile,negative_rejection,who will direct Irredeemable film?,I can not answer the question because of the insufficient information in documents.,1
36,llama-3.3-70b-versatile,negative_rejection,What is the name of China's rover on Mars?,I can not answer the question because of the insufficient information in documents.,1
37,llama-3.3-70b-versatile,negative_rejection,Who is being honored with the 2022 Warrior Award?,I can not answer the question because of the insufficient information in documents.,1
38,llama-3.3-70b-versatile,negative_rejection,What is the weight of the Surface Laptop SE?,I can not answer the question because of the insufficient information in documents.,1
39,llama-3.3-70b-versatile,negative_rejection,Who stars in The Lost City?,I can not answer the question because of the insufficient information in documents.,1
40,llama-3.3-70b-versatile,negative_rejection,What happened at the Academy Awards involving Will Smith and Chris Rock?,"At the Academy Awards, Chris Rock appeared onstage to present the award for best documentary feature. During this time, an incident occurred involving Will Smith and Chris Rock, where Smith slapped Rock. After the slap, Rock told Smith that his comment was only a joke, but Smith shouted again, louder and more deliberately. The incident overshadowed the award presentation for the Best Documentary Feature, which was won by the film ""Summer of Soul"". The reactions from celebrity attendees varied, with strong condemnation of Smith's violence and support for Rock, though some defended Smith's actions or refused to side solely with either man.",0
41,llama-3.3-70b-versatile,negative_rejection,When did Apple M2 chip?,I can not answer the question because of the insufficient information in documents.,1
42,llama-3.3-70b-versatile,negative_rejection,What film won the 2022 Academy Award for Best Picture?,I can not answer the question because of the insufficient information in documents.,1
43,llama-3.3-70b-versatile,negative_rejection,When will the 94th Academy Awards be held?,I can not answer the question because of the insufficient information in documents.,1
44,llama-3.3-70b-versatile,negative_rejection,When was A House Between the Earth and the Moon published?,"The publication date of ""A House Between Earth and the Moon"" is not explicitly stated in the documents. However, Document 2 mentions ""Mar 30, 2022"" and Document 3 mentions ""Summer 2022 Reading List"" and ""The Most Eagerly Anticipated Fiction by Women in 2022"", which suggests that the book was published in 2022, but the exact date is not provided.",0
45,llama-3.3-70b-versatile,negative_rejection,Which alnum won the Album of the Year GRAMMYs 2022,I can not answer the question because of the insufficient information in documents.,1
46,llama-3.3-70b-versatile,negative_rejection,When is the final of the 2022 FIFA World Cup?,"The document does not explicitly state the date of the 2022 FIFA World Cup final. However, based on the information provided in Document 3, which lists the matches played from November 26 to December 2, and considering that the final is typically played after the round of 16, it can be inferred that the final took place after December 3 (since the round of 16 started on December 3). Document 5 mentions that Argentina won the final, but it does not provide the exact date. Therefore, the exact date of the final is not available in the provided documents.",0
47,llama-3.3-70b-versatile,negative_rejection,How many vehicles did Tesla deliver in the first quarter of 2022?,I can not answer the question because of the insufficient information in documents.,1
48,llama-3.3-70b-versatile,negative_rejection,Who acquired Twitter?,I can not answer the question because of the insufficient information in documents.,1
49,llama-3.3-70b-versatile,negative_rejection,How much did Elon Musk bought Twitter?,I can not answer the question because of the insufficient information in documents.,1
50,llama-3.3-70b-versatile,negative_rejection,Who won the 2022 Masters Tournament?,I can not answer the question because of the insufficient information in documents.,1
51,llama-3.3-70b-versatile,negative_rejection,Who won the women's singles Australian Open 2022?,I can not answer the question because of the insufficient information in documents.,1
52,llama-3.3-70b-versatile,negative_rejection,Who won the women's singles Australian Open 2023?,Sabalenka won the women's singles Australian Open 2023.,0
53,llama-3.3-70b-versatile,negative_rejection,Who won the men's singles Australian Open 2022?,I can not answer the question because of the insufficient information in documents.,1
54,llama-3.3-70b-versatile,negative_rejection,Who won the men's singles Australian Open 2023?,I can not answer the question because of the insufficient information in documents.,1
55,llama-3.3-70b-versatile,negative_rejection,Who won the women's singles French Open 2022?,Iga Swiatek.,0
56,llama-3.3-70b-versatile,negative_rejection,Who won the women's singles French Open 2023?,Iga Swiatek.,0
57,llama-3.3-70b-versatile,negative_rejection,Who is the runner-up in the women's singles at the 2023 French Open?,The runner-up in the women's singles at the 2023 French Open is Muchova.,0
58,llama-3.3-70b-versatile,negative_rejection,Who won the men's singles French Open 2022?,I can not answer the question because of the insufficient information in documents.,1
59,llama-3.3-70b-versatile,negative_rejection,Who won the men's singles French Open 2023?,Djokovic won the men's singles French Open 2023.,0
60,llama-3.3-70b-versatile,negative_rejection,who the women's singles wimbledon 2022?,Marketa Vondrousova.,0
61,llama-3.3-70b-versatile,negative_rejection,who the women's singles wimbledon 2023?,Vondrousova.,0
62,llama-3.3-70b-versatile,negative_rejection,Who won the men's singles wimbledon 2022?,"Djokovic won the men's singles Wimbledon 2022, as stated in Document 3, where it is mentioned that he ""claimed a remarkable seventh Wimbledon title"".",0
63,llama-3.3-70b-versatile,negative_rejection,Who won the men's singles wimbledon 2023?,Alcaraz won the men's singles Wimbledon 2023.,0
64,llama-3.3-70b-versatile,negative_rejection,How many titles has Swiatek won in 2022 season?,"According to Document 3, Swiatek has won seven titles in the 2022 season.",0
65,llama-3.3-70b-versatile,negative_rejection,who the women's singles U.S. Open 2022?,I can not answer the question because of the insufficient information in documents.,1
66,llama-3.3-70b-versatile,negative_rejection,Who won the men's singles U.S. Open 2022?,I can not answer the question because of the insufficient information in documents.,1
