id,model,ability,noise_ratio,query,model_response,accuracy
0,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00 PM ET/PT on CNN.",1
1,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is medical.",1
2,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa with a score of 20-17.",1
3,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.,1
4,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,How many vehicles did Tesla deliver in 2021?,"According to the document, Tesla delivered 936,172 vehicles in 2021.",1
5,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas.,1
6,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,Where is the Super Bowl held in 2022?,"The Super Bowl in 2022 was held at SoFi Stadium in Inglewood, California.",1
7,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,When will Truth Social launch on iOS?,"Truth Social was launched on iOS on February 21, 2022.",1
8,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,What won best drama at 79th Golden Globes?,"The film ""The Power of the Dog"" won Best Picture Drama at the 79th Golden Globe Awards.",1
9,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,How much are GA Tech softball 2022 season tickets?,I can not answer the question because of the insufficient information in documents. The document provides information about the 2023 season ticket prices but does not mention the 2022 season ticket prices.,0
10,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,When does the 2022 Olympic Winter Games end?,"The 2022 Olympic Winter Games ended on February 20, 2022.",1
11,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,Who won the Spanish Super Cup 2022?,Real Madrid won the Spanish Super Cup 2022.,1
12,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,How much is Microsoft acquiring Activision Blizzard for?,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1
13,qwen/qwen-2.5-72b-instruct,noise_robustness,0.6,What is the price for a 30-second spot during the Super Bowl 2022?,The price for a 30-second spot during the Super Bowl 2022 was $6.5 million.,1
