id,model,ability,query,model_response,rejected
0,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,I can not answer the question because of the insufficient information in documents.,1
1,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,"The genre of the drama ""Good Sam"" is what?",I can not answer the question because of the insufficient information in documents.,1
2,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Who won the 2022 Citrus Bowl?,I can not answer the question because of the insufficient information in documents.,1
3,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,"Jason Semore held a coaching position at Valdosta State University before presumably other stops and then returning to Georgia Tech, but it does not state that he returned to Georgia Tech from Valdosta State.",0
4,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,How many vehicles did Tesla deliver in 2021?,I can not answer the question because of the insufficient information in documents.,1
5,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Which company acquired ShowBiz Cinemas?,I can not answer the question because of the insufficient information in documents.,1
6,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Where is the Super Bowl held in 2022?,I can not answer the question because of the insufficient information in documents.,1
7,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,When will Truth Social launch on iOS?,The Truth Social iOS app has already been live on the App Store since February.,0
8,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,What won best drama at 79th Golden Globes?,I can not answer the question because of the insufficient information in documents.,1
9,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,How much are GA Tech softball 2022 season tickets?,I can not answer the question because of the insufficient information in documents.,1
10,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,When does the 2022 Olympic Winter Games end?,I can not answer the question because of the insufficient information in documents.,1
11,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Who won the Spanish Super Cup 2022?,I can not answer the question because of the insufficient information in documents.,1
12,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,How much is Microsoft acquiring Activision Blizzard for?,I can not answer the question because of the insufficient information in documents.,1
13,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,What is the price for a 30-second spot during the Super Bowl 2022?,I can not answer the question because of the insufficient information in documents.,1
14,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,When is the Sports Star of the Year Awards Show 2022?,I can not answer the question because of the insufficient information in documents.,1
15,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,I can not answer the question because of the insufficient information in documents.,1
16,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,What is the codename for Google's AR headset project?,I can not answer the question because of the insufficient information in documents.,1
17,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,What is the name of Meta's AI supercomputer?,I can not answer the question because of the insufficient information in documents.,1
18,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,When will American students start taking digital SAT exams?,I can not answer the question because of the insufficient information in documents.,1
19,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,When do the Paralympic Winter Games 2022 start?,I can not answer the question because of the insufficient information in documents.,1
20,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Super Bowl 2022 date,I can not answer the question because of the insufficient information in documents.,1
21,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Who won the 2022 Nobel Prize for chemistry?,I can not answer the question because of the insufficient information in documents.,1
22,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Who won the Super Bowl 2022?,I can not answer the question because of the insufficient information in documents.,1
23,meta-llama/llama-4-scout-17b-16e-instruct,negative_rejection,Who won women's 500m speed skating at the 2022 Winter Olympics?,Jackson.,0
