id,model,ability,noise_ratio,query,model_response,accuracy
0,llama-3.3-70b-versatile,noise_robustness,0.8,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,[ERROR_MAX_RETRIES],0
1,llama-3.3-70b-versatile,noise_robustness,0.8,"The genre of the drama ""Good Sam"" is what?",[ERROR_MAX_RETRIES],0
2,llama-3.3-70b-versatile,noise_robustness,0.8,Who won the 2022 Citrus Bowl?,[ERROR_MAX_RETRIES],0
3,llama-3.3-70b-versatile,noise_robustness,0.8,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,[ERROR_MAX_RETRIES],0
4,llama-3.3-70b-versatile,noise_robustness,0.8,How many vehicles did Tesla deliver in 2021?,[ERROR_MAX_RETRIES],0
5,llama-3.3-70b-versatile,noise_robustness,0.8,Which company acquired ShowBiz Cinemas?,[ERROR_MAX_RETRIES],0
6,llama-3.3-70b-versatile,noise_robustness,0.8,Where is the Super Bowl held in 2022?,[ERROR_MAX_RETRIES],0
7,llama-3.3-70b-versatile,noise_robustness,0.8,When will Truth Social launch on iOS?,[ERROR_MAX_RETRIES],0
8,llama-3.3-70b-versatile,noise_robustness,0.8,What won best drama at 79th Golden Globes?,[ERROR_MAX_RETRIES],0
9,llama-3.3-70b-versatile,noise_robustness,0.8,How much are GA Tech softball 2022 season tickets?,$100 per seat.,1
10,llama-3.3-70b-versatile,noise_robustness,0.8,When does the 2022 Olympic Winter Games end?,[ERROR_MAX_RETRIES],0
11,llama-3.3-70b-versatile,noise_robustness,0.8,Who won the Spanish Super Cup 2022?,I can not answer the question because of the insufficient information in documents.,0
12,llama-3.3-70b-versatile,noise_robustness,0.8,How much is Microsoft acquiring Activision Blizzard for?,[ERROR_MAX_RETRIES],0
13,llama-3.3-70b-versatile,noise_robustness,0.8,What is the price for a 30-second spot during the Super Bowl 2022?,I can not answer the question because of the insufficient information in documents.,0
14,llama-3.3-70b-versatile,noise_robustness,0.8,When is the Sports Star of the Year Awards Show 2022?,"The 87th annual Seattle Sports Star of the Year Awards Show was hosted on May 26, 2022.",1
15,llama-3.3-70b-versatile,noise_robustness,0.8,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,[ERROR_MAX_RETRIES],0
16,llama-3.3-70b-versatile,noise_robustness,0.8,What is the codename for Google's AR headset project?,[ERROR_MAX_RETRIES],0
17,llama-3.3-70b-versatile,noise_robustness,0.8,What is the name of Meta's AI supercomputer?,[ERROR_MAX_RETRIES],0
18,llama-3.3-70b-versatile,noise_robustness,0.8,When will American students start taking digital SAT exams?,[ERROR_MAX_RETRIES],0
19,llama-3.3-70b-versatile,noise_robustness,0.8,When do the Paralympic Winter Games 2022 start?,[ERROR_MAX_RETRIES],0
