idx,error,question,answer,pred_relevant_keys,pred_utilized_keys,gt_relevant_keys,gt_utilized_keys,overall_supported,gt_adherence,completeness,rel_y_true,rel_y_pred,util_y_true,util_y_pred,judge_parse_failed,doc_truncated
0,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw16363ge94tm1xpn92jqwb0` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7454, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
1,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1g58nff49ayajmsgw8gycf` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7433, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
2,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1ft0y1fgy99szc60xhkdc6` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7464, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
3,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1g9pemeb7r7bjh2yrqgyb9` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7668, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
4,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1fyeypev8vn3z9g1hmsdnd` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7446, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
5,,The two or more parties who signed the contract,"The two parties who signed the contract are:

1. The Right Solution, a Nevada Corporation (represented by Rick Bailey, President/CEO)
2. Bruce Jenner, Individual (represented by himself as an Independent Contractor)",['0s2'],['0s2'],"['0bv', '0bw', '0b']","['0bv', '0bw', '0b']",True,True,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",False,False
6,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1g58nff49ayajmsgw8gycf` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7335, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
7,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1ft0y1fgy99szc60xhkdc6` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7508, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
8,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1g9pemeb7r7bjh2yrqgyb9` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7449, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
9,"Request exceeds per-call TPM budget on every key: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kw1fyeypev8vn3z9g1hmsdnd` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7450, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,,,,,,,,,,,,,,
