id,model,ability,query,model_response,accuracy
0,openai/gpt-oss-120b,counterfactual_nodocs,Super Bowl 2021 location,"The 2021 Super Bowl (Super Bowl LV) was played at **Raymond James Stadium in Tampa, Florida**.",1
1,openai/gpt-oss-120b,counterfactual_nodocs,Which country won the most medals at the 2018 Winter Olympics?,"The country that topped the medal count at the **2018 Winter Olympics in Pyeongchang** was **Norway**.  

- **Total medals:** 39  
  - **Gold:** 14  
  - **Silver:** 14  
  - **Bronze:** 11  

Norway finished ahead of the United States (23 medals) and Germany (31 medals) to claim the most medals overall at those Games.",1
2,openai/gpt-oss-120b,counterfactual_nodocs,Who acquired Instagram?,"Instagram was acquired by **Facebook** (which later rebranded as **Meta Platforms, Inc.**) in 2012.  

- **Announcement:** April 9 2012  
- **Deal value:** Reported around **$1 billion** (mostly in cash and stock)  
- **Closing:** The acquisition was finalized in September 2012  

Since then, Instagram has operated as a subsidiary of Meta, continuing to grow its user base and product offerings under the parent company’s umbrella.",1
3,openai/gpt-oss-120b,counterfactual_nodocs,Who acquired WhatsApp?,"WhatsApp was acquired by **Facebook** (now known as **Meta Platforms, Inc.**) in 2014. The deal was announced in February 2014 and completed later that year, with Facebook paying roughly **$19 billion** (about $4 billion in cash and $15 billion in stock) for the messaging service.",1
4,openai/gpt-oss-120b,counterfactual_nodocs,Who won the women's singles Wimbledon in 2019?,"Simona Halep won the women’s singles title at Wimbledon in 2019, defeating Serena Williams in the final.",1
5,openai/gpt-oss-120b,counterfactual_nodocs,Who won the women's singles Wimbledon in 2018?,"Angelique Kerber won the women’s singles title at Wimbledon in 2018, defeating Serena Williams in the final.",1
6,openai/gpt-oss-120b,counterfactual_nodocs,Who won the women's singles Wimbledon in 2021?,"Ashleigh Barty won the women’s singles title at Wimbledon in 2021, defeating Karolina Pliskova in the final.",1
7,openai/gpt-oss-120b,counterfactual_nodocs,Who won the men's singles Wimbledon in 2013?,"Andy Murray won the men’s singles title at Wimbledon in 2013, defeating Novak Djokovic in the final.",1
8,openai/gpt-oss-120b,counterfactual_nodocs,Who won the women's singles U.S. Open in 2021?,Emma Raducanu won the women’s singles title at the 2021 U.S. Open.,1
9,openai/gpt-oss-120b,counterfactual_nodocs,Who won the men's singles U.S. Open in 2020?,"Dominic Thiem won the men’s singles title at the 2020 U.S. Open, defeating Alexander Zverev in the final.",1
