Experiment ID,Judge Model,Embedding Model,Chunking Strategy,Generator LLM,Retrieval Method,Re-ranking Method,Context Ordering,TRACe Context Relevance ↑,TRACe Context Utilization ↑,TRACe Completeness ↑,TRACe Adherence ↑,Valid_Judge_response,Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑
FIN-032,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,none,reverse,0.324,0.218,0.567,0.938,21/25,0.3448,0.2707,0.5783,0.7024
FIN-020,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.24,0.123,0.57,0.859,22/25,0.2735,0.2237,0.5937,0.6607
FIN-016,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.141,0.106,0.793,0.816,23/25,0.1358,0.1152,0.4277,0.6548
FIN-022,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.167,0.135,0.873,0.816,23/25,0.1662,0.1498,0.3208,0.6548
FIN-026,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,none,reverse,0.276,0.226,0.627,0.851,20/25,0.2985,0.2722,0.5142,0.6429
FIN-029,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.338,0.234,0.667,0.883,22/25,0.343,0.2608,0.5963,0.6012
FIN-035,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.338,0.234,0.667,0.883,22/25,0.343,0.2608,0.5963,0.6012
FIN-050,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.084,0.07,0.803,0.784,22/25,0.0573,0.0604,0.4362,0.5952
FIN-021,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,sides,0.23,0.175,0.787,0.834,22/25,0.2629,0.2062,0.3859,0.5833
FIN-049,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.104,0.086,0.767,0.706,20/25,0.0745,0.0877,0.393,0.5774
FIN-041,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.095,0.067,0.636,0.841,20/25,0.0697,0.0787,0.5317,0.5714
FIN-045,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,sides,0.088,0.065,0.737,0.7,22/25,0.0574,0.0617,0.5326,0.5714
FIN-047,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.095,0.067,0.636,0.841,20/25,0.0697,0.0787,0.5317,0.5714
FIN-069,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,sides,0.204,0.104,0.773,0.935,23/25,0.2488,0.1295,0.4137,0.5714
FIN-089,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.087,0.06,0.64,0.843,21/25,0.0526,0.0683,0.5312,0.5714
FIN-095,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.087,0.06,0.64,0.843,21/25,0.0526,0.0683,0.5312,0.5714
FIN-063,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,none,sides,0.148,0.115,0.7,0.788,20/25,0.1488,0.1346,0.5,0.5595
FIN-005,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.077,0.061,0.74,0.802,22/25,0.0591,0.0617,0.5,0.5536
FIN-011,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.077,0.061,0.74,0.802,22/25,0.0591,0.0617,0.5,0.5536
FIN-014,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,none,reverse,0.156,0.077,0.74,0.943,25/25,0.1926,0.0573,0.4583,0.5536
FIN-053,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.077,0.063,0.78,0.802,23/25,0.0591,0.0601,0.4583,0.5536
FIN-059,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.077,0.063,0.78,0.802,23/25,0.0591,0.0601,0.4583,0.5536
FIN-038,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,none,reverse,0.106,0.11,0.758,0.876,23/25,0.0852,0.2003,0.4539,0.5417
FIN-019,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,forward,0.195,0.109,0.77,0.933,23/25,0.2289,0.0991,0.4525,0.5357
FIN-025,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,none,forward,0.374,0.27,0.673,0.83,24/25,0.3691,0.3135,0.4773,0.5238
FIN-077,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.354,0.25,0.707,0.893,23/25,0.3506,0.2708,0.5617,0.5119
FIN-083,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.354,0.25,0.707,0.893,23/25,0.3506,0.2708,0.5617,0.5119
FIN-003,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.098,0.079,0.797,0.865,22/25,0.0741,0.0711,0.4019,0.5
FIN-027,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,none,sides,0.316,0.232,0.64,0.81,22/25,0.3243,0.2652,0.4922,0.5
FIN-087,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,none,sides,0.093,0.085,0.857,0.73,22/25,0.0592,0.0621,0.3731,0.5
FIN-013,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,none,forward,0.159,0.077,0.65,0.882,23/25,0.1878,0.0591,0.5025,0.4881
FIN-039,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,dense,none,sides,0.109,0.07,0.713,0.77,23/25,0.1023,0.0612,0.511,0.4881
FIN-056,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.079,0.067,0.833,0.739,23/25,0.0593,0.0604,0.4333,0.4881
FIN-068,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.146,0.056,0.583,0.861,24/25,0.1771,0.046,0.5747,0.4881
FIN-009,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.099,0.083,0.837,0.843,21/25,0.0736,0.0714,0.3762,0.4821
FIN-064,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.163,0.137,0.897,0.848,24/25,0.1647,0.1506,0.3354,0.4821
FIN-070,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.163,0.137,0.897,0.848,24/25,0.1647,0.1506,0.3354,0.4821
FIN-086,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,none,reverse,0.095,0.077,0.727,0.818,21/25,0.0758,0.0852,0.4888,0.4762
FIN-004,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.099,0.083,0.844,0.816,21/25,0.074,0.0723,0.3405,0.4702
FIN-010,openai/gpt-oss-120b,finbert,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.099,0.083,0.844,0.816,21/25,0.074,0.0723,0.3405,0.4702
FIN-030,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.398,0.306,0.7,0.836,23/25,0.3818,0.347,0.5323,0.4702
FIN-036,openai/gpt-oss-120b,finbert,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.398,0.306,0.7,0.836,23/25,0.3818,0.347,0.5323,0.4702
FIN-044,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,reverse,0.088,0.057,0.689,0.827,22/25,0.0607,0.0333,0.5011,0.4702
FIN-052,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.099,0.083,0.844,0.824,22/25,0.074,0.0723,0.3405,0.4702
FIN-058,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.099,0.083,0.844,0.824,22/25,0.074,0.0723,0.3405,0.4702
FIN-078,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.398,0.306,0.7,0.836,23/25,0.3818,0.347,0.5323,0.4702
FIN-084,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.398,0.306,0.7,0.836,23/25,0.3818,0.347,0.5323,0.4702
FIN-018,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.17,0.111,0.74,0.844,21/25,0.21,0.1276,0.4796,0.4643
FIN-024,openai/gpt-oss-120b,finbert,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.166,0.111,0.74,0.844,21/25,0.2101,0.1276,0.4796,0.4643
FIN-066,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.164,0.111,0.76,0.837,22/25,0.2101,0.1276,0.4899,0.4643
