Experiment ID,Judge Model,Embedding Model,Chunking Strategy,Generator LLM,Retrieval Method,Re-ranking Method,Context Ordering,TRACe Context Relevance ↑,TRACe Context Utilization ↑,TRACe Completeness ↑,TRACe Adherence ↑,Valid_Judge_response,Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑
LEG-027,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,dense,none,sides,0.0829,0.0541,0.4267,0.88,25/25,0.2364,0.0934,0.6899,0.7065
LEG-030,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.0749,0.0485,0.4421,0.8433,25/25,0.2241,0.0629,0.6994,0.6848
LEG-026,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,dense,none,reverse,0.0979,0.0659,0.48,0.82,25/25,0.2479,0.1191,0.672,0.6739
LEG-029,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.0613,0.0437,0.46,0.8227,25/25,0.2132,0.0566,0.6794,0.6739
LEG-034,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.1013,0.0677,0.5566,0.812,25/25,0.2406,0.0833,0.6318,0.663
LEG-035,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.0928,0.0614,0.5652,0.8133,25/25,0.2268,0.0697,0.5901,0.663
LEG-036,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.1101,0.0612,0.4664,0.8,25/25,0.24,0.0743,0.6694,0.663
LEG-025,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,dense,none,forward,0.0654,0.045,0.3104,0.8825,198/200,0.2651,0.1346,0.6911,0.6524
LEG-023,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.096,0.0533,0.357,0.7933,25/25,0.222,0.0816,0.6947,0.6522
LEG-031,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,forward,0.0952,0.0581,0.48,0.78,25/25,0.2318,0.0881,0.6776,0.6522
LEG-032,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,reverse,0.0739,0.0403,0.4533,0.73,25/25,0.2217,0.0596,0.68,0.6087
LEG-033,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,sides,0.0824,0.047,0.4467,0.7167,25/25,0.2244,0.0697,0.6792,0.6087
LEG-028,openai/gpt-oss-120b,legal-bert-base-uncased,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.0806,0.0676,0.362,0.8786,198/200,0.2669,0.1745,0.6676,0.5554
LEG-002,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-003,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-004,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-005,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-006,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-007,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-008,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-009,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-010,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-011,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-012,openai/gpt-oss-120b,legal-bert-base-uncased,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-049,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-050,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-051,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-052,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-053,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-054,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-055,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-056,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-057,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
