id,model,ability,query,model_response,accuracy
0,openai/gpt-oss-120b,info_integration,Who is the director of 'Carole King & James Taylor: Just Call Out My Name' and when is its premiere?,"The documentary **“Carole King & James Taylor: Just Call Out My Name”** was directed by **Frank Marshall**.  
It premiered on **January 2, 2022** (broadcast at 9:00 p.m. ET/PT on CNN).",1
1,openai/gpt-oss-120b,info_integration,Who won the 2022 and 2023 Citrus Bowl?,"- **2022 Citrus Bowl:** The Kentucky Wildcats defeated the Iowa Hawkeyes, 20 – 17.  
- **2023 Citrus Bowl:** The LSU Tigers defeated the Purdue Boilermakers, 63 – 7.",1
2,openai/gpt-oss-120b,info_integration,Where are the Super Bowl held in 2022 and 2023?,"**2022 – Super Bowl LVI**  
- **Venue:** SoFi Stadium  
- **City/State:** Inglewood, California (home of the Los Angeles Rams)

**2023 – Super Bowl LVII**  
- **Venue:** State Farm Stadium (the Arizona Cardinals’ home stadium)  
- **City/State:** Glendale, Arizona  

So, the 2022 Super Bowl was held in Inglewood, California, and the 2023 Super Bowl will be held in Glendale, Arizona.",1
3,openai/gpt-oss-120b,info_integration,What won best drama and best Musical/Comedy at 79th Golden Globes?,"At the 79th Golden Globe Awards:

- **Best Motion Picture – Drama** was won by **“The Power of the Dog.”**  
- **Best Motion Picture – Musical or Comedy** was won by **“West Side Story.”**",1
4,openai/gpt-oss-120b,info_integration,When does the 2022 Olympic Winter Games start and end?,"The 2022 Olympic Winter Games in Beijing began on **February 4, 2022** and concluded on **February 20, 2022**.",1
5,openai/gpt-oss-120b,info_integration,When do the Paralympic and Olympic Winter Games 2022 start?,"The 2022 Winter Olympic Games began with the opening ceremony on **Friday, February 4 2022** (the first competition events – curling – started on Wednesday, February 2).  

The 2022 Winter Paralympic Games began on **Friday, March 4 2022**.",1
6,openai/gpt-oss-120b,info_integration,Super Bowl 2022 date and location?,"The 2022 Super Bowl (Super Bowl LVI) was played on **Sunday, February 13, 2022** at **SoFi Stadium in Inglewood, California** (the Los Angeles metropolitan area).",1
7,openai/gpt-oss-120b,info_integration,Who are the winners of the 2022 Nobel Prizes for chemistry and physics?,"The 2022 Nobel Prizes were awarded to the following laureates:

**Physics (2022 Nobel Prize in Physics)**
- **Alain Aspect**
- **John F. Clauser**
- **Anton Zeilinger**

**Chemistry (2022 Nobel Prize in Chemistry)**
- **Carolyn R. Bertozzi**
- **Morten Meldal**
- **K. Barry Sharpless**",1
8,openai/gpt-oss-120b,info_integration,Who won the Super Bowl 2022 and who was named the MVP?,"The Los Angeles Rams won the 2022 Super Bowl (Super Bowl LVI), defeating the Cincinnati Bengals 23‑20, and Rams wide receiver **Cooper Kupp** was named the game's MVP.",1
9,openai/gpt-oss-120b,info_integration,Who won men's and women's 500m speed skating at the 2022 Winter Olympics?,"- **Men’s 500 m speed skating (2022 Winter Olympics):** Gold medal – **Gao Tingyu** of China.  
- **Women’s 500 m speed skating (2022 Winter Olympics):** Gold medal – **Erin Jackson** of the United States.",1
10,openai/gpt-oss-120b,info_integration,When were Elden Ring and Splatoon 3 being released?,"Elden Ring was released on **February 25, 2022**.  
Splatoon 3 was released on **September 9, 2022**.",1
11,openai/gpt-oss-120b,info_integration,Who were the Male and Female Vocalists of the Year at the 2022 CMA?,The 2022 CMA Awards named **Chris Stapleton** as Male Vocalist of the Year and **Lainey Wilson** as Female Vocalist of the Year.,1
12,openai/gpt-oss-120b,info_integration,What chips do the iPhone 14 and iPhone 14 pro have?,"The iPhone 14 (the non‑Pro model) is equipped with Apple’s **A15 Bionic** chip, while the iPhone 14 Pro (and Pro Max) use the newer **A16** chip.",1
13,openai/gpt-oss-120b,info_integration,When and where is Google I/O 2022 scheduled to take place?,"Google I/O 2022 is scheduled for **May 11 and May 12, 2022**, and the event will be held at the **Shoreline Amphitheatre in Mountain View, California**.",1
14,openai/gpt-oss-120b,info_integration,What films won the 2022 and 2023 Academy Awards for Best Picture?,"The document indicates the following Best Picture winners:

- **2022 Academy Awards (94th Oscars)** – **“CODA”**  
- **2023 Academy Awards (95th Oscars)** – **“Everything Everywhere All at Once”**",1
15,openai/gpt-oss-120b,info_integration,When will the 95th and 94th Academy Awards be held?,"The 95th Academy Awards (the 2023 Oscars) were scheduled for **Sunday, March 12, 2023** at the Dolby Theatre in Hollywood.

The 94th Academy Awards (the 2022 Oscars) were scheduled for **Sunday, March 27, 2022** at the Dolby Theatre in Hollywood.",1
16,openai/gpt-oss-120b,info_integration,What won Album of the Year at the GRAMMYs 2022 and what was the song of the year?,"Album of the Year (2022 GRAMMYs) – **Jon Batiste – “We Are”**  
Song of the Year (2022 GRAMMYs) – **“Just Like That”**.",1
17,openai/gpt-oss-120b,info_integration,Who won the men's and women's singles Australian Open 2022?,"The 2022 Australian Open champions were:

- **Men’s singles:** **Rafael Nadal** (defeated Daniil Medvedev in the final)  
- **Women’s singles:** **Ashleigh Barty** (defeated Danielle Collins in the final)",1
18,openai/gpt-oss-120b,info_integration,Who won the men's and women's singles Australian Open 2023?,"Novak Djokovic won the **men’s singles** title, and Aryna Sabalenka won the **women’s singles** title at the 2023 Australian Open.",1
19,openai/gpt-oss-120b,info_integration,Who are the champions of the French Open 2022 in men's and women's singles? ,"The 2022 French Open champions were:

- **Men’s singles:** **Rafael Nadal**  
- **Women’s singles:** **Iga Świątek**",1
20,openai/gpt-oss-120b,info_integration,Who won the men's and women's singles French Open 2023?,"The 2023 French Open champions were:

- **Men’s singles:** **Novak Djokovic** defeated Casper Ruud in the final.  
- **Women’s singles:** **Iga Swiatek** defeated Karolina Muchova in the final.",1
21,openai/gpt-oss-120b,info_integration,Who are the runners-up in the men's and women's singles at the 2023 French Open?,"The runners‑up at the 2023 French Open were:

- **Men’s singles:** **Casper Ruud** (lost to Novak Djokovic)  
- **Women’s singles:** **Karolina Muchova** (lost to Iga Świątek)",1
22,openai/gpt-oss-120b,info_integration,Who are the champion of the men's and women's singles at Wimbledon 2022?,"The 2022 Wimbledon Championships were won by:

- **Men’s singles champion:** **Novak Djokovic**  
- **Women’s singles champion:** **Elena Rybakina** (who defeated Ons Jabeur in the final).",1
23,openai/gpt-oss-120b,info_integration,Who are the champion of the men's and women's singles at Wimbledon 2023?,"The 2023 Wimbledon champions were:

- **Men’s singles champion:** **Carlos Alcaraz**  
- **Women’s singles champion:** **Markéta Vondroušová**",1
24,openai/gpt-oss-120b,info_integration,How many titles have both Swiatek and Djokovic won in the 2022 season?,I can not answer the question because of the insufficient information in documents.,0
25,openai/gpt-oss-120b,info_integration,Who are the champions of the U.S. Open 2022 men's and women's singles?,I can not answer the question because of the insufficient information in documents.,0
26,openai/gpt-oss-120b,info_integration,What were Tesla's revenues in Q1 and Q2 of 2022 respectively?,"Tesla’s revenues were:

- **Q1 2022:** $18.76 billion  
- **Q2 2022:** $16.93 billion  

These figures are taken directly from the provided excerpts.",1
